Bag_Tag_ID,Inbound_Flight_Number,Outbound_Flight_Number,Inbound_Arrival_Time,Outbound_Departure_Time,Airport_MCT_for_Transfer,Gate_to_Gate_Distance,Transfer_Path_Type,Transfer_Buffer_Minutes,Bag_Transfer_Time,SLA_Compliance,Calculated_Transfer_Buffer_Minutes,SLA_Compliance_Calculated,Inbound_Arrival_Hour,Inbound_Arrival_Day_of_Week,MCT_Buffer_Difference
B0003695,LH829,SQ764,2025-07-16 01:03:00,2025-07-16 02:13:08,75,787.7956494185291,Manual,70.15,74.74,0,70.13333333333334,0,1,2,-4.86666666666666
B0004202,AI852,AI948,2025-07-16 08:07:00,2025-07-16 09:50:59,75,342.0321004532484,Auto,104.0,111.6,0,103.98333333333333,1,8,2,28.983333333333334
B0002594,LH807,LH810,2025-07-16 13:11:00,2025-07-16 15:11:00,90,586.7292206218212,Manual,120.0,126.06,0,120.0,1,13,2,30.0
B0004017,AI673,AI401,2025-07-16 21:23:00,2025-07-16 22:06:27,30,831.6534002967437,Auto,43.45,47.9,0,43.45,1,21,2,13.450000000000003
B0001009,LH953,BA579,2025-07-16 10:47:00,2025-07-16 11:46:54,60,1170.15342945279,Manual,59.91,59.91,1,59.9,0,10,2,-0.10000000000000142
B0003740,AI774,LH456,2025-07-16 08:57:00,2025-07-16 10:05:12,75,473.4320852328535,Auto,68.2,76.98,0,68.2,0,8,2,-6.799999999999997
B0004422,LH719,BA800,2025-07-16 16:48:00,2025-07-16 18:25:55,90,545.3100382157575,Auto,97.93,107.5,0,97.91666666666667,1,16,2,7.916666666666671
B0002080,BA679,BA423,2025-07-16 06:43:00,2025-07-16 07:09:58,30,842.3267114191865,Auto,26.98,20.7,1,26.966666666666665,0,6,2,-3.033333333333335
B0002375,BA849,SQ699,2025-07-16 16:42:00,2025-07-16 18:39:17,90,707.9002151510509,Manual,117.3,105.43,1,117.28333333333333,1,16,2,27.28333333333333
B0001119,EK515,BA815,2025-07-16 03:47:00,2025-07-16 04:36:20,30,741.1655502065541,Auto,49.35,34.27,1,49.333333333333336,1,3,2,19.333333333333336
B0001315,LH466,LH699,2025-07-16 15:47:00,2025-07-16 17:27:00,75,482.6562628301677,Manual,100.0,91.93,1,100.0,1,15,2,25.0
B0002980,LH367,EK967,2025-07-16 20:13:00,2025-07-16 20:44:55,30,501.9361309313636,Auto,31.93,34.94,0,31.916666666666668,1,20,2,1.9166666666666679
B0002402,BA205,EK340,2025-07-16 09:14:00,2025-07-16 10:59:17,90,254.04758015112236,Auto,105.29,97.55,1,105.28333333333333,1,9,2,15.283333333333331
B0004969,LH362,LH698,2025-07-16 02:02:00,2025-07-16 03:05:54,45,940.3367615522858,Manual,63.91,71.1,0,63.9,1,2,2,18.9
B0003423,SQ430,LH957,2025-07-16 17:34:00,2025-07-16 18:16:03,45,539.8333644322656,Auto,42.06,47.56,0,42.05,0,17,2,-2.950000000000003
B0004477,BA540,AI130,2025-07-16 19:05:00,2025-07-16 20:44:51,75,665.1296296387645,Auto,99.85,104.04,0,99.85,1,19,2,24.849999999999994
B0004488,SQ134,LH552,2025-07-16 04:40:00,2025-07-16 05:42:25,60,529.1323681447518,Auto,62.42,71.55,0,62.416666666666664,1,4,2,2.4166666666666643
B0002281,LH626,BA486,2025-07-16 20:20:00,2025-07-16 21:24:00,45,836.4700172356878,Manual,64.01,56.56,1,64.0,1,20,2,19.0
B0000294,LH121,SQ172,2025-07-16 01:11:00,2025-07-16 02:12:26,45,899.7444468365807,Manual,61.45,61.45,1,61.43333333333333,1,1,2,16.43333333333333
B0002256,SQ297,SQ746,2025-07-16 09:18:00,2025-07-16 10:29:54,60,440.843715771307,Auto,71.91,71.91,1,71.9,1,9,2,11.900000000000006
B0002607,EK347,BA836,2025-07-16 11:08:00,2025-07-16 12:23:30,75,897.1808992377335,Manual,75.5,78.28,0,75.5,1,11,2,0.5
B0000648,SQ919,LH843,2025-07-16 02:35:00,2025-07-16 04:17:22,90,550.0140061009376,Auto,102.37,94.06,1,102.36666666666666,1,2,2,12.36666666666666
B0004341,BA386,EK355,2025-07-16 08:02:00,2025-07-16 08:47:47,30,828.1380843189149,Manual,45.8,52.27,0,45.78333333333333,1,8,2,15.783333333333331
B0000334,EK870,BA900,2025-07-16 11:41:00,2025-07-16 13:08:44,75,172.82525783964127,Manual,87.73,82.79,1,87.73333333333333,1,11,2,12.733333333333334
B0003991,SQ434,AI182,2025-07-16 22:31:00,2025-07-16 23:08:45,30,816.5242263325749,Manual,37.75,40.19,0,37.75,1,22,2,7.75
B0002916,SQ681,EK860,2025-07-16 10:04:00,2025-07-16 10:47:30,30,370.3710688278122,Auto,43.5,46.06,0,43.5,1,10,2,13.5
B0003600,EK327,SQ465,2025-07-16 13:00:00,2025-07-16 14:31:47,75,762.3652074168642,Manual,91.79,99.46,0,91.78333333333333,1,13,2,16.78333333333333
B0003902,AI984,AI848,2025-07-16 07:49:00,2025-07-16 09:29:33,90,247.1945070077269,Auto,100.56,107.46,0,100.55,1,7,2,10.549999999999997
B0003086,AI518,BA792,2025-07-16 21:29:00,2025-07-16 23:07:21,90,905.8256477321517,Auto,98.35,104.8,0,98.35,1,21,2,8.349999999999994
B0003998,AI622,SQ292,2025-07-16 17:30:00,2025-07-16 18:13:46,30,684.4704943035865,Manual,43.78,53.13,0,43.766666666666666,1,17,2,13.766666666666666
B0000772,AI492,LH720,2025-07-16 01:51:00,2025-07-16 02:58:55,75,1126.0011815244602,Manual,67.93,63.17,1,67.91666666666667,0,1,2,-7.083333333333329
B0004646,BA419,LH900,2025-07-16 18:34:00,2025-07-16 20:23:24,90,834.6406035867275,Manual,109.42,112.69,0,109.4,1,18,2,19.400000000000006
B0000419,EK226,LH871,2025-07-16 02:52:00,2025-07-16 03:39:21,30,796.3098651353171,Manual,47.36,41.07,1,47.35,1,2,2,17.35
B0003774,LH733,BA589,2025-07-16 09:50:00,2025-07-16 10:47:43,45,656.8954082888519,Auto,57.73,61.73,0,57.71666666666667,1,9,2,12.716666666666669
B0001950,AI415,SQ839,2025-07-16 08:15:00,2025-07-16 09:54:48,75,351.04134078309096,Auto,99.81,94.74,1,99.8,1,8,2,24.799999999999997
B0004805,EK156,LH525,2025-07-16 00:25:00,2025-07-16 01:16:07,60,767.6869460453921,Manual,51.13,60.33,0,51.11666666666667,0,0,2,-8.883333333333333
B0000306,LH763,SQ663,2025-07-16 14:09:00,2025-07-16 14:55:41,30,944.8250399272164,Manual,46.7,32.38,1,46.68333333333333,1,14,2,16.68333333333333
B0001760,EK226,AI116,2025-07-16 11:34:00,2025-07-16 12:17:39,30,1203.1910990974784,Manual,43.65,33.21,1,43.65,1,11,2,13.649999999999999
B0003901,SQ480,SQ157,2025-07-16 11:03:00,2025-07-16 12:12:07,60,423.6749170569648,Auto,69.12,78.03,0,69.11666666666666,1,11,2,9.11666666666666
B0001874,LH859,LH552,2025-07-16 05:09:00,2025-07-16 06:41:53,90,193.333465031628,Auto,92.89,80.47,1,92.88333333333334,1,5,2,2.88333333333334
B0000376,EK816,LH919,2025-07-16 19:47:00,2025-07-16 20:58:41,60,1113.1375049894034,Manual,71.69,71.69,1,71.68333333333334,1,19,2,11.683333333333337
B0001555,SQ713,SQ777,2025-07-16 18:08:00,2025-07-16 18:39:55,30,474.8179202398695,Manual,31.93,18.71,1,31.916666666666668,1,18,2,1.9166666666666679
B0000299,BA726,SQ301,2025-07-16 04:37:00,2025-07-16 05:41:08,45,882.7552772090809,Manual,64.14,57.7,1,64.13333333333334,1,4,2,19.13333333333334
B0003321,EK937,BA286,2025-07-16 13:22:00,2025-07-16 14:56:05,75,713.7737535194303,Manual,94.09,96.48,0,94.08333333333333,1,13,2,19.08333333333333
B0001262,EK114,EK895,2025-07-16 13:21:00,2025-07-16 13:56:54,30,420.18468644247565,Auto,35.91,24.77,1,35.9,1,13,2,5.899999999999999
B0002170,LH736,EK183,2025-07-16 06:53:00,2025-07-16 07:59:28,45,676.4376767461238,Auto,66.47,60.94,1,66.46666666666667,1,6,2,21.46666666666667
B0004550,SQ223,SQ179,2025-07-16 05:27:00,2025-07-16 07:25:45,90,604.818676217174,Auto,118.76,122.62,0,118.75,1,5,2,28.75
B0000668,AI880,AI200,2025-07-16 16:07:00,2025-07-16 17:02:47,45,334.2255516253504,Auto,55.78,48.02,1,55.78333333333333,1,16,2,10.783333333333331
B0004212,EK935,EK447,2025-07-16 10:12:00,2025-07-16 11:54:47,90,843.1511184144588,Manual,102.79,105.61,0,102.78333333333333,1,10,2,12.783333333333331
B0001284,LH611,BA686,2025-07-16 08:49:00,2025-07-16 10:33:43,90,663.0568334453081,Auto,104.73,103.78,1,104.71666666666667,1,8,2,14.716666666666669
B0000012,EK464,BA466,2025-07-16 04:12:00,2025-07-16 06:12:00,90,528.9575183013285,Manual,120.0,108.43,1,120.0,1,4,2,30.0
B0003571,EK122,AI470,2025-07-16 13:57:00,2025-07-16 15:14:29,75,426.6565418621204,Auto,77.5,85.26,0,77.48333333333333,1,13,2,2.4833333333333343
B0001693,SQ462,SQ371,2025-07-16 05:59:00,2025-07-16 07:06:35,60,474.9820129867424,Auto,67.59,65.94,1,67.58333333333333,1,5,2,7.583333333333329
B0004697,EK663,AI146,2025-07-16 13:33:00,2025-07-16 14:32:46,45,516.1736442301492,Manual,59.78,61.37,0,59.766666666666666,1,13,2,14.766666666666666
B0000658,LH169,BA166,2025-07-16 10:01:00,2025-07-16 11:36:44,90,592.4587509041505,Manual,95.74,90.84,1,95.73333333333333,1,10,2,5.733333333333334
B0001410,LH473,BA347,2025-07-16 09:42:00,2025-07-16 10:47:57,60,484.97133371414833,Auto,65.96,58.22,1,65.95,1,9,2,5.950000000000003
B0004923,SQ308,AI661,2025-07-16 03:53:00,2025-07-16 05:43:10,90,236.20624356699187,Auto,110.18,113.83,0,110.16666666666667,1,3,2,20.16666666666667
B0001691,EK393,SQ366,2025-07-16 10:40:00,2025-07-16 11:47:26,60,767.0100739047216,Manual,67.44,67.44,1,67.43333333333334,1,10,2,7.433333333333337
B0004656,LH230,EK585,2025-07-16 16:48:00,2025-07-16 18:32:10,90,710.5747185966325,Auto,104.18,109.85,0,104.16666666666667,1,16,2,14.166666666666671
B0000377,BA656,BA697,2025-07-16 21:17:00,2025-07-16 22:46:03,75,379.086795264337,Auto,89.06,89.06,1,89.05,1,21,2,14.049999999999997
B0004520,SQ465,SQ100,2025-07-16 14:36:00,2025-07-16 16:05:11,75,221.28002921704007,Auto,89.19,93.37,0,89.18333333333334,1,14,2,14.183333333333337
B0003974,SQ946,SQ352,2025-07-16 21:22:00,2025-07-16 23:08:05,75,501.443795643798,Auto,106.08,115.86,0,106.08333333333333,1,21,2,31.08333333333333
B0000846,BA284,BA275,2025-07-16 19:27:00,2025-07-16 20:28:47,60,383.05715108711,Auto,61.8,61.8,1,61.78333333333333,1,19,2,1.7833333333333314
B0000495,SQ411,SQ346,2025-07-16 12:45:00,2025-07-16 14:11:12,75,914.9755614029286,Manual,86.21,76.39,1,86.2,1,12,2,11.200000000000003
B0001248,EK935,LH696,2025-07-16 03:34:00,2025-07-16 05:10:16,75,508.51800738006926,Auto,96.27,95.65,1,96.26666666666667,1,3,2,21.266666666666666
B0001970,SQ647,AI945,2025-07-16 05:44:00,2025-07-16 06:00:57,30,707.4038153157952,Manual,16.96,5.0,1,16.95,0,5,2,-13.05
B0001965,EK432,EK733,2025-07-16 18:22:00,2025-07-16 20:22:00,90,100.0,Auto,120.0,116.86,1,120.0,1,18,2,30.0
B0000746,SQ252,BA138,2025-07-16 17:09:00,2025-07-16 18:21:02,45,687.8801467855387,Auto,72.05,66.19,1,72.03333333333333,1,17,2,27.03333333333333
B0002872,AI949,BA570,2025-07-16 22:23:00,2025-07-16 23:12:22,30,801.6717033060983,Manual,49.38,51.57,0,49.36666666666667,1,22,2,19.366666666666667
B0001670,SQ666,SQ699,2025-07-16 22:51:00,2025-07-17 00:02:25,75,922.088750762158,Manual,71.43,64.97,1,71.41666666666667,0,22,2,-3.5833333333333286
B0001019,SQ873,LH157,2025-07-16 11:49:00,2025-07-16 12:36:26,45,742.847465987545,Auto,47.44,40.32,1,47.43333333333333,1,11,2,2.43333333333333
B0001673,LH908,BA964,2025-07-16 03:14:00,2025-07-16 04:17:14,60,425.27362561202926,Auto,63.24,63.24,1,63.233333333333334,1,3,2,3.2333333333333343
B0000852,AI473,SQ371,2025-07-16 13:06:00,2025-07-16 13:57:03,60,1076.981278852698,Manual,51.05,44.02,1,51.05,0,13,2,-8.950000000000003
B0002714,EK186,SQ635,2025-07-16 07:57:00,2025-07-16 09:11:17,75,172.2345499262476,Auto,74.29,78.88,0,74.28333333333333,0,7,2,-0.7166666666666686
B0003422,SQ785,SQ859,2025-07-16 09:03:00,2025-07-16 09:42:36,30,846.7099959656421,Manual,39.61,41.86,0,39.6,1,9,2,9.600000000000001
B0000594,LH974,SQ215,2025-07-16 17:51:00,2025-07-16 19:21:06,60,676.2902320939,Manual,90.1,88.49,1,90.1,1,17,2,30.099999999999994
B0000997,AI755,EK808,2025-07-16 02:22:00,2025-07-16 03:21:12,30,964.3456199955208,Manual,59.2,59.2,1,59.2,1,2,2,29.200000000000003
B0003620,LH928,LH597,2025-07-16 21:56:00,2025-07-16 23:14:03,45,444.1473272972908,Auto,78.06,87.24,0,78.05,1,21,2,33.05
B0002667,LH898,BA670,2025-07-16 07:22:00,2025-07-16 08:23:57,45,887.2417330341522,Manual,61.95,69.42,0,61.95,1,7,2,16.950000000000003
B0000324,AI769,EK669,2025-07-16 02:36:00,2025-07-16 03:15:20,30,620.0847311365294,Manual,39.35,36.6,1,39.333333333333336,1,2,2,9.333333333333336
B0000280,EK827,EK438,2025-07-16 21:00:00,2025-07-16 22:07:03,60,1027.0680648258617,Manual,67.06,65.3,1,67.05,1,21,2,7.049999999999997
B0004245,BA404,EK622,2025-07-16 17:27:00,2025-07-16 18:19:13,30,610.1096780150923,Auto,52.22,56.84,0,52.21666666666667,1,17,2,22.21666666666667
B0000238,AI357,AI214,2025-07-16 04:07:00,2025-07-16 05:37:07,75,207.54123486377927,Auto,90.13,87.48,1,90.11666666666666,1,4,2,15.11666666666666
B0003965,LH625,AI759,2025-07-16 02:02:00,2025-07-16 03:10:20,60,924.5095414090598,Manual,68.35,76.4,0,68.33333333333333,1,2,2,8.333333333333329
B0002526,AI898,SQ963,2025-07-16 01:34:00,2025-07-16 02:27:38,45,824.5975408540254,Manual,53.64,59.86,0,53.63333333333333,1,1,2,8.633333333333333
B0004096,LH774,SQ259,2025-07-16 22:28:00,2025-07-16 23:29:50,60,545.4113260701818,Manual,61.85,68.66,0,61.833333333333336,1,22,2,1.8333333333333357
B0001256,AI904,SQ307,2025-07-16 12:58:00,2025-07-16 14:16:32,75,770.2313393048363,Manual,78.54,72.09,1,78.53333333333333,1,12,2,3.5333333333333314
B0003293,AI418,BA103,2025-07-16 15:59:00,2025-07-16 16:39:24,30,548.8573109563551,Manual,40.41,48.62,0,40.4,1,15,2,10.399999999999999
B0004206,SQ924,BA381,2025-07-16 16:35:00,2025-07-16 17:27:27,45,848.1908067139677,Manual,52.45,61.95,0,52.45,1,16,2,7.450000000000003
B0004841,EK631,BA455,2025-07-16 13:49:00,2025-07-16 14:50:41,45,379.9189629026274,Auto,61.69,63.3,0,61.68333333333333,1,13,2,16.68333333333333
B0004301,BA773,EK281,2025-07-16 00:51:00,2025-07-16 02:28:16,90,603.4608524892059,Manual,97.27,102.87,0,97.26666666666667,1,0,2,7.266666666666666
B0003372,EK908,EK741,2025-07-16 01:50:00,2025-07-16 02:51:54,45,875.0930869998657,Manual,61.92,70.43,0,61.9,1,1,2,16.9
B0003480,AI644,EK660,2025-07-16 06:42:00,2025-07-16 07:27:43,45,1168.9154620069291,Manual,45.72,54.43,0,45.71666666666667,1,6,2,0.7166666666666686
B0001398,BA657,BA716,2025-07-16 01:19:00,2025-07-16 02:59:41,90,748.8562495975309,Auto,100.69,100.69,1,100.68333333333334,1,1,2,10.683333333333337
B0000523,AI633,LH192,2025-07-16 06:45:00,2025-07-16 07:39:48,60,526.2481613913315,Manual,54.82,52.04,1,54.8,0,6,2,-5.200000000000003
B0000759,EK240,BA217,2025-07-16 13:37:00,2025-07-16 15:21:58,90,814.994107177082,Manual,104.97,102.65,1,104.96666666666667,1,13,2,14.966666666666669
B0000679,EK451,LH686,2025-07-16 17:23:00,2025-07-16 18:08:33,45,718.5677145919889,Auto,45.56,41.19,1,45.55,1,17,2,0.5499999999999972
B0002447,BA575,SQ123,2025-07-16 12:25:00,2025-07-16 13:53:32,75,955.4061024923752,Manual,88.55,84.7,1,88.53333333333333,1,12,2,13.533333333333331
B0002514,AI501,AI376,2025-07-16 08:39:00,2025-07-16 10:01:46,75,719.3648195102095,Manual,82.78,87.81,0,82.76666666666667,1,8,2,7.766666666666666
B0003144,EK169,BA583,2025-07-16 14:25:00,2025-07-16 14:50:58,30,859.6786233187597,Manual,25.97,28.99,0,25.966666666666665,0,14,2,-4.033333333333335
B0004934,BA387,BA442,2025-07-16 09:05:00,2025-07-16 10:20:53,75,1079.665864664008,Manual,75.89,78.07,0,75.88333333333334,1,9,2,0.88333333333334
B0002008,SQ566,LH352,2025-07-16 03:31:00,2025-07-16 04:43:49,60,612.6306678732843,Auto,72.82,70.07,1,72.81666666666666,1,3,2,12.816666666666663
B0001480,EK469,BA366,2025-07-16 15:07:00,2025-07-16 15:57:17,30,429.0354988622321,Auto,50.29,46.45,1,50.28333333333333,1,15,2,20.28333333333333
B0002920,EK338,BA151,2025-07-16 05:20:00,2025-07-16 06:31:58,75,100.0,Auto,71.98,73.66,0,71.96666666666667,0,5,2,-3.0333333333333314
B0002684,LH246,AI315,2025-07-16 02:42:00,2025-07-16 03:37:45,60,1082.424572994405,Manual,55.75,65.26,0,55.75,0,2,2,-4.25
B0004139,LH148,LH314,2025-07-16 20:05:00,2025-07-16 21:27:49,90,849.5734168691116,Manual,82.83,92.55,0,82.81666666666666,0,20,2,-7.183333333333337
B0003973,AI350,AI124,2025-07-16 15:49:00,2025-07-16 16:19:11,30,640.0709538158094,Manual,30.19,32.04,0,30.183333333333334,1,15,2,0.18333333333333357
B0001205,LH570,BA490,2025-07-16 06:54:00,2025-07-16 07:43:51,45,738.6499235927707,Auto,49.86,43.02,1,49.85,1,6,2,4.850000000000001
B0003346,BA115,BA651,2025-07-16 07:49:00,2025-07-16 08:12:25,30,802.415108098515,Manual,23.42,28.58,0,23.416666666666668,0,7,2,-6.583333333333332
B0000126,BA329,AI885,2025-07-16 10:52:00,2025-07-16 12:06:02,60,861.9711959547112,Manual,74.05,71.63,1,74.03333333333333,1,10,2,14.033333333333331
B0001817,LH417,SQ625,2025-07-16 05:52:00,2025-07-16 07:24:07,75,862.4956718019891,Manual,92.12,92.12,1,92.11666666666666,1,5,2,17.11666666666666
B0003535,EK290,BA718,2025-07-16 14:16:00,2025-07-16 14:58:20,30,505.9338163873187,Auto,42.34,45.81,0,42.333333333333336,1,14,2,12.333333333333336
B0002026,EK656,SQ691,2025-07-16 18:37:00,2025-07-16 20:21:14,90,750.1934549403136,Auto,104.24,104.24,1,104.23333333333333,1,18,2,14.233333333333334
B0002323,LH380,EK714,2025-07-16 07:39:00,2025-07-16 08:41:36,45,303.0429407004718,Manual,62.6,62.6,1,62.6,1,7,2,17.6
B0004527,SQ875,BA693,2025-07-16 20:10:00,2025-07-16 21:40:36,75,857.8622803488976,Manual,90.62,95.79,0,90.6,1,20,2,15.599999999999994
B0001577,SQ888,LH576,2025-07-16 16:23:00,2025-07-16 17:33:37,60,651.9266997860918,Auto,70.63,69.8,1,70.61666666666666,1,16,2,10.61666666666666
B0001268,LH185,SQ480,2025-07-16 09:44:00,2025-07-16 10:18:13,30,756.2571796433822,Manual,34.22,27.71,1,34.21666666666667,1,9,2,4.216666666666669
B0000842,AI985,SQ462,2025-07-16 08:35:00,2025-07-16 10:01:16,75,189.9726233164502,Auto,86.28,86.28,1,86.26666666666667,1,8,2,11.266666666666666
B0002493,SQ831,BA880,2025-07-16 10:10:00,2025-07-16 10:55:46,60,549.9544029978424,Manual,45.78,38.8,1,45.766666666666666,0,10,2,-14.233333333333334
B0000498,BA974,SQ562,2025-07-16 02:07:00,2025-07-16 03:44:26,90,850.3886667535785,Manual,97.45,85.4,1,97.43333333333334,1,2,2,7.433333333333337
B0001211,AI485,BA877,2025-07-16 12:29:00,2025-07-16 13:36:49,60,843.2174205066381,Manual,67.83,67.83,1,67.81666666666666,1,12,2,7.816666666666663
B0004993,SQ432,AI242,2025-07-16 15:48:00,2025-07-16 17:13:15,75,539.3756018677099,Auto,85.25,93.98,0,85.25,1,15,2,10.25
B0002937,LH805,BA966,2025-07-16 04:42:00,2025-07-16 05:28:49,30,846.9271137575595,Manual,46.83,54.75,0,46.81666666666667,1,4,2,16.81666666666667
B0004144,SQ571,LH752,2025-07-16 08:21:00,2025-07-16 09:10:25,45,861.393845789695,Manual,49.43,55.24,0,49.416666666666664,1,8,2,4.416666666666664
B0004478,SQ857,AI730,2025-07-16 04:00:00,2025-07-16 04:50:21,30,533.9736709568673,Auto,50.36,56.96,0,50.35,1,4,2,20.35
B0001477,EK330,SQ650,2025-07-16 06:56:00,2025-07-16 07:45:24,30,1039.1952873955208,Manual,49.41,49.41,1,49.4,1,6,2,19.4
B0001295,EK970,SQ556,2025-07-16 12:07:00,2025-07-16 13:41:45,75,624.1509820442126,Manual,94.76,92.18,1,94.75,1,12,2,19.75
B0001285,AI522,AI458,2025-07-16 08:56:00,2025-07-16 10:18:51,75,642.2176649375301,Manual,82.86,82.86,1,82.85,1,8,2,7.849999999999994
B0001186,SQ286,EK248,2025-07-16 01:41:00,2025-07-16 02:46:02,60,456.6177387031626,Auto,65.04,62.57,1,65.03333333333333,1,1,2,5.033333333333331
B0003264,SQ560,AI647,2025-07-16 15:24:00,2025-07-16 17:11:52,90,556.0063970530015,Auto,107.88,114.63,0,107.86666666666666,1,15,2,17.86666666666666
B0004177,SQ506,EK228,2025-07-16 10:11:00,2025-07-16 11:52:57,90,508.6649122760276,Auto,101.97,105.93,0,101.95,1,10,2,11.950000000000003
B0001920,BA891,LH983,2025-07-16 02:06:00,2025-07-16 02:51:39,45,293.86772589374334,Auto,45.66,36.43,1,45.65,1,2,2,0.6499999999999986
B0002259,EK931,EK690,2025-07-16 20:44:00,2025-07-16 21:18:49,30,498.103521498561,Auto,34.83,25.52,1,34.81666666666667,1,20,2,4.81666666666667
B0000359,SQ628,SQ454,2025-07-16 08:19:00,2025-07-16 09:19:58,45,308.7887171982625,Auto,60.97,54.5,1,60.96666666666667,1,8,2,15.966666666666669
B0000791,LH561,AI384,2025-07-16 16:29:00,2025-07-16 18:14:55,90,666.2110998786056,Auto,105.93,91.31,1,105.91666666666667,1,16,2,15.916666666666671
B0002419,EK746,AI551,2025-07-16 17:18:00,2025-07-16 18:42:27,90,237.7850608998495,Auto,84.46,82.17,1,84.45,0,17,2,-5.549999999999997
B0001269,SQ707,EK165,2025-07-16 16:41:00,2025-07-16 17:41:52,45,607.4719251900129,Manual,60.87,56.89,1,60.86666666666667,1,16,2,15.866666666666667
B0001132,SQ129,BA249,2025-07-16 09:30:00,2025-07-16 10:02:33,30,449.0980899693452,Auto,32.56,29.91,1,32.55,1,9,2,2.549999999999997
B0004880,BA914,EK140,2025-07-16 07:45:00,2025-07-16 08:53:06,60,643.4955913599881,Manual,68.1,75.54,0,68.1,1,7,2,8.099999999999994
B0003187,BA531,EK999,2025-07-16 07:28:00,2025-07-16 08:56:02,75,331.0701774872897,Auto,88.03,92.22,0,88.03333333333333,1,7,2,13.033333333333331
B0003013,AI907,LH317,2025-07-16 20:24:00,2025-07-16 21:12:56,30,701.7478999490254,Auto,48.94,56.42,0,48.93333333333333,1,20,2,18.93333333333333
B0003776,AI643,SQ471,2025-07-16 17:48:00,2025-07-16 18:37:27,45,728.5059129239163,Manual,49.47,54.2,0,49.45,1,17,2,4.450000000000003
B0003030,BA493,AI797,2025-07-16 20:52:00,2025-07-16 22:11:38,60,557.259578135917,Auto,79.64,87.68,0,79.63333333333334,1,20,2,19.63333333333334
B0002044,EK615,BA240,2025-07-16 15:40:00,2025-07-16 16:41:36,45,658.9210340484215,Auto,61.61,60.13,1,61.6,1,15,2,16.6
B0004739,SQ176,SQ523,2025-07-16 04:39:00,2025-07-16 05:27:48,30,273.17629889862303,Auto,48.81,53.73,0,48.8,1,4,2,18.799999999999997
B0001681,BA377,BA307,2025-07-16 07:21:00,2025-07-16 08:15:04,30,727.6460457040505,Auto,54.07,54.07,1,54.06666666666667,1,7,2,24.06666666666667
B0000140,SQ541,EK322,2025-07-16 14:35:00,2025-07-16 15:27:05,30,1047.2999633634895,Manual,52.09,46.99,1,52.083333333333336,1,14,2,22.083333333333336
B0004941,EK674,BA572,2025-07-16 18:17:00,2025-07-16 20:00:46,90,1170.5221243072274,Manual,103.77,108.65,0,103.76666666666667,1,18,2,13.766666666666666
B0002326,SQ327,SQ383,2025-07-16 02:37:00,2025-07-16 04:16:34,75,630.8999890139385,Auto,99.58,99.58,1,99.56666666666666,1,2,2,24.566666666666663
B0004138,BA411,AI420,2025-07-16 06:50:00,2025-07-16 08:08:00,75,426.12365022672464,Auto,78.0,81.03,0,78.0,1,6,2,3.0
B0001955,SQ436,AI379,2025-07-16 11:16:00,2025-07-16 12:54:29,90,625.1330057916246,Manual,98.49,87.59,1,98.48333333333333,1,11,2,8.483333333333334
B0000996,BA108,BA906,2025-07-16 19:41:00,2025-07-16 21:10:40,90,956.1825269793447,Manual,89.67,78.39,1,89.66666666666667,0,19,2,-0.3333333333333286
