Bag_Tag_ID,Flight_Number,Damage_Reported_Flag,Damage_Claim_Type,Damage_Reported_Time,Flight_Arrival_Time,Zone_of_Damage,Baggage_Type,Time_To_Report_Damage,Repeat_Zone_Incidents,Calculated_Time_To_Report_Damage,Is_Damaged_Bag,Damage_Reported_Hour,Damage_Reported_Day_of_Week,Damage_Report_Lag_Category
B0000032,SQ658,1,Broken Wheel,2025-07-16 15:18:02,2025-07-16 14:47:00,Check-in Counter/Baggage Drop,Soft Shell,31.03333333333333,495,31.033333333333335,1,15,2,Delayed (30+ min)
B0000033,BA465,1,Missing Handle,2025-07-16 21:23:29,2025-07-16 21:08:00,Aircraft Loading/Unloading Area,Fragile,15.483333333333333,517,15.483333333333333,1,21,2,Quick (6-30 min)
B0000034,LH361,1,Broken Wheel,2025-07-16 18:29:26,2025-07-16 17:56:00,Aircraft Loading/Unloading Area,Hard Shell,33.43333333333333,517,33.43333333333333,1,18,2,Delayed (30+ min)
B0000035,LH773,1,Cracked Shell,2025-07-16 08:42:25,2025-07-16 08:13:00,Aircraft Loading/Unloading Area,Soft Shell,29.416666666666668,517,29.416666666666668,1,8,2,Quick (6-30 min)
B0000036,AI851,1,Missing Handle,2025-07-16 04:23:46,2025-07-16 03:56:00,Baggage Sorting System,Fragile,27.766666666666666,499,27.766666666666666,1,4,2,Quick (6-30 min)
B0000037,BA172,1,Missing Handle,2025-07-16 15:46:50,2025-07-16 15:15:00,Arrival Baggage Claim Belt,Regular,31.83333333333333,497,31.833333333333332,1,15,2,Delayed (30+ min)
B0000038,AI686,1,Broken Wheel,2025-07-16 09:40:15,2025-07-16 09:17:00,Aircraft Loading/Unloading Area,Soft Shell,23.25,517,23.25,1,9,2,Quick (6-30 min)
B0000039,SQ663,1,Scratches/Scuffs,2025-07-16 16:42:35,2025-07-16 16:10:00,Aircraft Loading/Unloading Area,Regular,32.583333333333336,517,32.583333333333336,1,16,2,Delayed (30+ min)
B0000040,SQ949,1,Scratches/Scuffs,2025-07-16 03:05:56,2025-07-16 02:49:00,Transfer Baggage Re-Check,Soft Shell,16.933333333333334,492,16.933333333333334,1,3,2,Quick (6-30 min)
B0000041,SQ576,1,Missing Handle,2025-07-16 17:45:05,2025-07-16 17:27:00,Baggage Sorting System,Fragile,18.08333333333333,499,18.083333333333332,1,17,2,Quick (6-30 min)
B0000042,LH312,1,Missing Handle,2025-07-16 18:08:42,2025-07-16 17:30:00,Check-in Counter/Baggage Drop,Regular,38.7,495,38.7,1,18,2,Delayed (30+ min)
B0000043,LH408,1,Scratches/Scuffs,2025-07-16 08:08:51,2025-07-16 07:50:00,Check-in Counter/Baggage Drop,Hard Shell,18.85,495,18.85,1,8,2,Quick (6-30 min)
B0000044,EK169,1,Broken Wheel,2025-07-16 19:43:19,2025-07-16 19:13:00,Baggage Sorting System,Soft Shell,30.316666666666663,499,30.316666666666666,1,19,2,Delayed (30+ min)
B0000045,SQ210,1,Cracked Shell,2025-07-16 16:12:48,2025-07-16 15:37:00,Baggage Sorting System,Fragile,35.8,499,35.8,1,16,2,Delayed (30+ min)
B0000046,AI149,1,Scratches/Scuffs,2025-07-16 18:55:49,2025-07-16 18:31:00,Transfer Baggage Re-Check,Regular,24.816666666666663,492,24.816666666666666,1,18,2,Quick (6-30 min)
B0000047,LH562,1,Cracked Shell,2025-07-16 20:48:31,2025-07-16 20:08:00,Transfer Baggage Re-Check,Soft Shell,40.516666666666666,492,40.516666666666666,1,20,2,Delayed (30+ min)
B0000048,LH247,1,Missing Handle,2025-07-16 07:34:51,2025-07-16 07:06:00,Baggage Sorting System,Regular,28.85,499,28.85,1,7,2,Quick (6-30 min)
B0000049,LH768,1,Missing Handle,2025-07-16 10:02:30,2025-07-16 09:14:00,Aircraft Loading/Unloading Area,Regular,48.5,517,48.5,1,10,2,Delayed (30+ min)
B0000050,SQ209,1,Broken Wheel,2025-07-16 18:59:52,2025-07-16 18:28:00,Aircraft Loading/Unloading Area,Regular,31.866666666666667,517,31.866666666666667,1,18,2,Delayed (30+ min)
B0000051,EK927,1,Broken Wheel,2025-07-16 13:59:25,2025-07-16 13:43:00,Aircraft Loading/Unloading Area,Regular,16.416666666666668,517,16.416666666666668,1,13,2,Quick (6-30 min)
B0000052,BA857,1,Cracked Shell,2025-07-16 06:05:10,2025-07-16 05:14:00,Aircraft Loading/Unloading Area,Fragile,51.16666666666666,517,51.166666666666664,1,6,2,Delayed (30+ min)
B0000053,SQ143,1,Cracked Shell,2025-07-16 17:07:44,2025-07-16 16:37:00,Transfer Baggage Re-Check,Soft Shell,30.73333333333333,492,30.733333333333334,1,17,2,Delayed (30+ min)
B0000054,BA117,1,Broken Wheel,2025-07-16 15:32:35,2025-07-16 14:46:00,Aircraft Loading/Unloading Area,Soft Shell,46.583333333333336,517,46.583333333333336,1,15,2,Delayed (30+ min)
B0000055,BA715,1,Broken Wheel,2025-07-16 18:29:48,2025-07-16 18:06:00,Transfer Baggage Re-Check,Soft Shell,23.8,492,23.8,1,18,2,Quick (6-30 min)
B0000056,EK584,1,Broken Wheel,2025-07-16 12:25:20,2025-07-16 11:41:00,Baggage Sorting System,Fragile,44.333333333333336,499,44.333333333333336,1,12,2,Delayed (30+ min)
B0000057,EK167,1,Broken Wheel,2025-07-16 16:49:03,2025-07-16 16:16:00,Transfer Baggage Re-Check,Soft Shell,33.05,492,33.05,1,16,2,Delayed (30+ min)
B0000058,AI263,1,Broken Wheel,2025-07-16 04:11:04,2025-07-16 03:58:00,Check-in Counter/Baggage Drop,Hard Shell,13.066666666666666,495,13.066666666666666,1,4,2,Quick (6-30 min)
B0000059,BA412,1,Broken Wheel,2025-07-16 03:52:16,2025-07-16 03:33:00,Arrival Baggage Claim Belt,Hard Shell,19.266666666666666,497,19.266666666666666,1,3,2,Quick (6-30 min)
B0000060,BA522,1,Broken Wheel,2025-07-16 21:01:34,2025-07-16 20:40:00,Check-in Counter/Baggage Drop,Soft Shell,21.566666666666663,495,21.566666666666666,1,21,2,Quick (6-30 min)
B0000061,SQ543,1,Cracked Shell,2025-07-16 10:50:00,2025-07-16 10:24:00,Check-in Counter/Baggage Drop,Soft Shell,26.0,495,26.0,1,10,2,Quick (6-30 min)
B0000062,EK790,1,Scratches/Scuffs,2025-07-16 13:45:57,2025-07-16 13:13:00,Check-in Counter/Baggage Drop,Regular,32.95,495,32.95,1,13,2,Delayed (30+ min)
B0000063,LH248,1,Broken Wheel,2025-07-16 10:39:41,2025-07-16 10:19:00,Transfer Baggage Re-Check,Hard Shell,20.683333333333334,492,20.683333333333334,1,10,2,Quick (6-30 min)
B0000064,SQ766,1,Cracked Shell,2025-07-16 22:29:39,2025-07-16 22:10:00,Check-in Counter/Baggage Drop,Hard Shell,19.65,495,19.65,1,22,2,Quick (6-30 min)
B0000065,SQ160,1,Scratches/Scuffs,2025-07-16 11:05:02,2025-07-16 10:16:00,Arrival Baggage Claim Belt,Hard Shell,49.03333333333333,497,49.03333333333333,1,11,2,Delayed (30+ min)
B0000066,SQ947,1,Broken Wheel,2025-07-16 21:30:50,2025-07-16 21:10:00,Aircraft Loading/Unloading Area,Fragile,20.83333333333333,517,20.833333333333332,1,21,2,Quick (6-30 min)
B0000067,EK527,1,Scratches/Scuffs,2025-07-16 19:30:30,2025-07-16 18:54:00,Baggage Sorting System,Soft Shell,36.5,499,36.5,1,19,2,Delayed (30+ min)
B0000068,AI117,1,Missing Handle,2025-07-16 04:06:27,2025-07-16 03:24:00,Aircraft Loading/Unloading Area,Hard Shell,42.45,517,42.45,1,4,2,Delayed (30+ min)
B0000069,BA624,1,Cracked Shell,2025-07-16 03:23:24,2025-07-16 02:49:00,Aircraft Loading/Unloading Area,Hard Shell,34.4,517,34.4,1,3,2,Delayed (30+ min)
B0000070,EK232,1,Cracked Shell,2025-07-16 03:35:37,2025-07-16 03:14:00,Transfer Baggage Re-Check,Regular,21.616666666666667,492,21.616666666666667,1,3,2,Quick (6-30 min)
B0000071,BA298,1,Missing Handle,2025-07-16 17:35:51,2025-07-16 16:48:00,Check-in Counter/Baggage Drop,Fragile,47.85,495,47.85,1,17,2,Delayed (30+ min)
B0000072,BA607,1,Cracked Shell,2025-07-16 05:24:15,2025-07-16 04:51:00,Arrival Baggage Claim Belt,Regular,33.25,497,33.25,1,5,2,Delayed (30+ min)
B0000073,SQ391,1,Missing Handle,2025-07-16 20:04:42,2025-07-16 19:29:00,Arrival Baggage Claim Belt,Soft Shell,35.7,497,35.7,1,20,2,Delayed (30+ min)
B0000074,AI144,1,Scratches/Scuffs,2025-07-16 12:34:27,2025-07-16 12:10:00,Baggage Sorting System,Soft Shell,24.45,499,24.45,1,12,2,Quick (6-30 min)
B0000075,AI655,1,Broken Wheel,2025-07-16 12:56:15,2025-07-16 12:33:00,Transfer Baggage Re-Check,Regular,23.25,492,23.25,1,12,2,Quick (6-30 min)
B0000076,BA621,1,Cracked Shell,2025-07-16 13:30:44,2025-07-16 12:52:00,Check-in Counter/Baggage Drop,Regular,38.73333333333333,495,38.733333333333334,1,13,2,Delayed (30+ min)
B0000077,EK799,1,Broken Wheel,2025-07-16 23:23:20,2025-07-16 22:59:00,Baggage Sorting System,Hard Shell,24.33333333333333,499,24.333333333333332,1,23,2,Quick (6-30 min)
B0000078,AI501,1,Broken Wheel,2025-07-16 02:31:29,2025-07-16 02:05:00,Check-in Counter/Baggage Drop,Fragile,26.48333333333333,495,26.483333333333334,1,2,2,Quick (6-30 min)
B0000079,EK803,1,Scratches/Scuffs,2025-07-16 20:21:17,2025-07-16 19:43:00,Transfer Baggage Re-Check,Hard Shell,38.28333333333333,492,38.28333333333333,1,20,2,Delayed (30+ min)
B0000080,SQ650,1,Missing Handle,2025-07-16 18:10:10,2025-07-16 17:29:00,Baggage Sorting System,Fragile,41.16666666666666,499,41.166666666666664,1,18,2,Delayed (30+ min)
B0000081,SQ950,1,Cracked Shell,2025-07-16 12:17:09,2025-07-16 11:40:00,Aircraft Loading/Unloading Area,Soft Shell,37.15,517,37.15,1,12,2,Delayed (30+ min)
B0000082,SQ708,1,Cracked Shell,2025-07-16 17:25:16,2025-07-16 16:49:00,Baggage Sorting System,Fragile,36.266666666666666,499,36.266666666666666,1,17,2,Delayed (30+ min)
B0000083,SQ966,1,Missing Handle,2025-07-16 21:34:38,2025-07-16 21:06:00,Transfer Baggage Re-Check,Soft Shell,28.633333333333333,492,28.633333333333333,1,21,2,Quick (6-30 min)
B0000084,SQ219,1,Missing Handle,2025-07-16 20:09:36,2025-07-16 19:34:00,Check-in Counter/Baggage Drop,Soft Shell,35.6,495,35.6,1,20,2,Delayed (30+ min)
B0000085,LH957,1,Missing Handle,2025-07-16 11:54:29,2025-07-16 11:25:00,Baggage Sorting System,Hard Shell,29.48333333333333,499,29.483333333333334,1,11,2,Quick (6-30 min)
B0000086,SQ509,1,Scratches/Scuffs,2025-07-16 22:31:44,2025-07-16 21:53:00,Aircraft Loading/Unloading Area,Regular,38.73333333333333,517,38.733333333333334,1,22,2,Delayed (30+ min)
B0000087,AI825,1,Scratches/Scuffs,2025-07-16 12:06:15,2025-07-16 11:33:00,Arrival Baggage Claim Belt,Fragile,33.25,497,33.25,1,12,2,Delayed (30+ min)
B0000088,AI641,1,Scratches/Scuffs,2025-07-16 21:44:10,2025-07-16 21:09:00,Baggage Sorting System,Hard Shell,35.166666666666664,499,35.166666666666664,1,21,2,Delayed (30+ min)
B0000089,SQ103,1,Missing Handle,2025-07-16 10:26:13,2025-07-16 09:57:00,Aircraft Loading/Unloading Area,Regular,29.216666666666665,517,29.216666666666665,1,10,2,Quick (6-30 min)
B0000090,LH479,1,Cracked Shell,2025-07-16 17:26:10,2025-07-16 17:02:00,Baggage Sorting System,Soft Shell,24.166666666666668,499,24.166666666666668,1,17,2,Quick (6-30 min)
B0000091,SQ716,1,Scratches/Scuffs,2025-07-16 20:13:34,2025-07-16 19:45:00,Transfer Baggage Re-Check,Fragile,28.566666666666663,492,28.566666666666666,1,20,2,Quick (6-30 min)
B0000092,AI732,1,Broken Wheel,2025-07-16 05:02:34,2025-07-16 04:42:00,Check-in Counter/Baggage Drop,Soft Shell,20.566666666666663,495,20.566666666666666,1,5,2,Quick (6-30 min)
B0000093,SQ718,1,Missing Handle,2025-07-16 16:28:03,2025-07-16 15:44:00,Transfer Baggage Re-Check,Regular,44.05,492,44.05,1,16,2,Delayed (30+ min)
B0000094,AI332,1,Cracked Shell,2025-07-16 19:41:34,2025-07-16 19:00:00,Arrival Baggage Claim Belt,Fragile,41.56666666666667,497,41.56666666666667,1,19,2,Delayed (30+ min)
B0000095,AI663,1,Scratches/Scuffs,2025-07-16 23:08:58,2025-07-16 22:24:00,Arrival Baggage Claim Belt,Regular,44.96666666666667,497,44.96666666666667,1,23,2,Delayed (30+ min)
B0000096,SQ144,1,Broken Wheel,2025-07-16 05:18:10,2025-07-16 04:31:00,Aircraft Loading/Unloading Area,Soft Shell,47.16666666666666,517,47.166666666666664,1,5,2,Delayed (30+ min)
B0000097,SQ832,1,Missing Handle,2025-07-16 03:31:07,2025-07-16 03:09:00,Check-in Counter/Baggage Drop,Hard Shell,22.116666666666667,495,22.116666666666667,1,3,2,Quick (6-30 min)
B0000098,SQ981,1,Broken Wheel,2025-07-16 14:43:53,2025-07-16 14:25:00,Aircraft Loading/Unloading Area,Soft Shell,18.883333333333333,517,18.883333333333333,1,14,2,Quick (6-30 min)
B0000099,SQ571,1,Cracked Shell,2025-07-16 03:02:35,2025-07-16 02:31:00,Arrival Baggage Claim Belt,Hard Shell,31.58333333333333,497,31.583333333333332,1,3,2,Delayed (30+ min)
B0000100,BA835,1,Scratches/Scuffs,2025-07-16 11:30:43,2025-07-16 11:03:00,Aircraft Loading/Unloading Area,Regular,27.716666666666665,517,27.716666666666665,1,11,2,Quick (6-30 min)
B0000101,EK281,1,Scratches/Scuffs,2025-07-16 16:01:10,2025-07-16 15:33:00,Transfer Baggage Re-Check,Regular,28.166666666666668,492,28.166666666666668,1,16,2,Quick (6-30 min)
B0000102,LH922,1,Missing Handle,2025-07-16 13:09:38,2025-07-16 12:27:00,Check-in Counter/Baggage Drop,Hard Shell,42.63333333333333,495,42.63333333333333,1,13,2,Delayed (30+ min)
B0000103,LH319,1,Cracked Shell,2025-07-16 12:35:42,2025-07-16 11:51:00,Baggage Sorting System,Hard Shell,44.7,499,44.7,1,12,2,Delayed (30+ min)
B0000104,BA966,1,Cracked Shell,2025-07-16 13:56:43,2025-07-16 13:16:00,Check-in Counter/Baggage Drop,Fragile,40.71666666666667,495,40.71666666666667,1,13,2,Delayed (30+ min)
B0000105,SQ236,1,Missing Handle,2025-07-16 20:53:45,2025-07-16 20:36:00,Baggage Sorting System,Hard Shell,17.75,499,17.75,1,20,2,Quick (6-30 min)
B0000106,SQ627,1,Cracked Shell,2025-07-16 16:55:13,2025-07-16 16:29:00,Baggage Sorting System,Hard Shell,26.216666666666665,499,26.216666666666665,1,16,2,Quick (6-30 min)
B0000107,LH627,1,Cracked Shell,2025-07-16 13:57:59,2025-07-16 13:09:00,Aircraft Loading/Unloading Area,Fragile,48.98333333333333,517,48.983333333333334,1,13,2,Delayed (30+ min)
B0000108,EK172,1,Scratches/Scuffs,2025-07-16 23:01:36,2025-07-16 22:49:00,Aircraft Loading/Unloading Area,Soft Shell,12.6,517,12.6,1,23,2,Quick (6-30 min)
B0000109,AI677,1,Cracked Shell,2025-07-16 20:19:22,2025-07-16 19:55:00,Aircraft Loading/Unloading Area,Soft Shell,24.366666666666667,517,24.366666666666667,1,20,2,Quick (6-30 min)
B0000110,EK996,1,Missing Handle,2025-07-16 17:32:01,2025-07-16 17:01:00,Arrival Baggage Claim Belt,Regular,31.016666666666666,497,31.016666666666666,1,17,2,Delayed (30+ min)
B0000111,SQ244,1,Broken Wheel,2025-07-16 08:46:52,2025-07-16 08:18:00,Aircraft Loading/Unloading Area,Fragile,28.866666666666667,517,28.866666666666667,1,8,2,Quick (6-30 min)
B0000112,LH473,1,Broken Wheel,2025-07-16 10:18:40,2025-07-16 09:42:00,Baggage Sorting System,Hard Shell,36.66666666666666,499,36.666666666666664,1,10,2,Delayed (30+ min)
B0000113,AI520,1,Cracked Shell,2025-07-16 19:01:07,2025-07-16 18:36:00,Baggage Sorting System,Fragile,25.116666666666667,499,25.116666666666667,1,19,2,Quick (6-30 min)
B0000114,LH394,1,Cracked Shell,2025-07-16 04:58:25,2025-07-16 04:41:00,Transfer Baggage Re-Check,Fragile,17.416666666666668,492,17.416666666666668,1,4,2,Quick (6-30 min)
B0000115,AI620,1,Scratches/Scuffs,2025-07-16 01:07:12,2025-07-16 00:41:00,Check-in Counter/Baggage Drop,Hard Shell,26.2,495,26.2,1,1,2,Quick (6-30 min)
B0000116,AI331,1,Cracked Shell,2025-07-16 01:21:56,2025-07-16 01:02:00,Transfer Baggage Re-Check,Fragile,19.933333333333334,492,19.933333333333334,1,1,2,Quick (6-30 min)
B0000117,SQ563,1,Missing Handle,2025-07-16 10:16:52,2025-07-16 09:43:00,Check-in Counter/Baggage Drop,Regular,33.86666666666667,495,33.86666666666667,1,10,2,Delayed (30+ min)
B0000118,LH755,1,Broken Wheel,2025-07-16 03:04:11,2025-07-16 02:35:00,Baggage Sorting System,Fragile,29.183333333333334,499,29.183333333333334,1,3,2,Quick (6-30 min)
B0000119,AI505,1,Cracked Shell,2025-07-16 21:48:15,2025-07-16 21:30:00,Aircraft Loading/Unloading Area,Hard Shell,18.25,517,18.25,1,21,2,Quick (6-30 min)
B0000120,LH962,1,Missing Handle,2025-07-16 01:53:58,2025-07-16 01:41:00,Transfer Baggage Re-Check,Fragile,12.966666666666669,492,12.966666666666667,1,1,2,Quick (6-30 min)
B0000121,AI469,1,Broken Wheel,2025-07-16 09:29:49,2025-07-16 09:09:00,Check-in Counter/Baggage Drop,Soft Shell,20.816666666666663,495,20.816666666666666,1,9,2,Quick (6-30 min)
B0000122,SQ603,1,Scratches/Scuffs,2025-07-16 00:54:09,2025-07-16 00:20:00,Transfer Baggage Re-Check,Fragile,34.15,492,34.15,1,0,2,Delayed (30+ min)
B0000123,SQ182,1,Cracked Shell,2025-07-16 19:29:36,2025-07-16 19:07:00,Aircraft Loading/Unloading Area,Soft Shell,22.6,517,22.6,1,19,2,Quick (6-30 min)
B0000124,LH313,1,Broken Wheel,2025-07-16 21:06:26,2025-07-16 20:50:00,Aircraft Loading/Unloading Area,Hard Shell,16.433333333333334,517,16.433333333333334,1,21,2,Quick (6-30 min)
B0000125,LH872,1,Missing Handle,2025-07-16 21:17:41,2025-07-16 20:59:00,Baggage Sorting System,Regular,18.683333333333334,499,18.683333333333334,1,21,2,Quick (6-30 min)
B0000126,SQ740,1,Scratches/Scuffs,2025-07-16 07:02:50,2025-07-16 06:35:00,Arrival Baggage Claim Belt,Soft Shell,27.83333333333333,497,27.833333333333332,1,7,2,Quick (6-30 min)
B0000127,SQ241,1,Broken Wheel,2025-07-16 07:45:07,2025-07-16 07:35:00,Baggage Sorting System,Fragile,10.116666666666667,499,10.116666666666667,1,7,2,Quick (6-30 min)
B0000128,BA374,1,Scratches/Scuffs,2025-07-16 15:02:25,2025-07-16 14:32:00,Aircraft Loading/Unloading Area,Hard Shell,30.416666666666668,517,30.416666666666668,1,15,2,Delayed (30+ min)
B0000129,AI322,1,Broken Wheel,2025-07-16 19:40:53,2025-07-16 19:10:00,Baggage Sorting System,Soft Shell,30.883333333333333,499,30.883333333333333,1,19,2,Delayed (30+ min)
B0000130,BA947,1,Missing Handle,2025-07-16 03:03:24,2025-07-16 02:40:00,Transfer Baggage Re-Check,Fragile,23.4,492,23.4,1,3,2,Quick (6-30 min)
B0000131,LH375,1,Cracked Shell,2025-07-16 18:11:37,2025-07-16 17:51:00,Arrival Baggage Claim Belt,Fragile,20.616666666666667,497,20.616666666666667,1,18,2,Quick (6-30 min)
B0000132,SQ454,1,Scratches/Scuffs,2025-07-16 06:21:06,2025-07-16 05:51:00,Check-in Counter/Baggage Drop,Fragile,30.1,495,30.1,1,6,2,Delayed (30+ min)
B0000133,BA318,1,Scratches/Scuffs,2025-07-16 04:23:33,2025-07-16 04:02:00,Check-in Counter/Baggage Drop,Hard Shell,21.55,495,21.55,1,4,2,Quick (6-30 min)
B0000134,AI348,1,Scratches/Scuffs,2025-07-16 19:50:40,2025-07-16 19:33:00,Baggage Sorting System,Fragile,17.666666666666668,499,17.666666666666668,1,19,2,Quick (6-30 min)
B0000135,LH637,1,Broken Wheel,2025-07-16 22:59:46,2025-07-16 22:27:00,Aircraft Loading/Unloading Area,Fragile,32.766666666666666,517,32.766666666666666,1,22,2,Delayed (30+ min)
B0000136,SQ572,1,Cracked Shell,2025-07-16 08:57:42,2025-07-16 08:19:00,Baggage Sorting System,Soft Shell,38.7,499,38.7,1,8,2,Delayed (30+ min)
B0000137,AI250,1,Scratches/Scuffs,2025-07-16 02:13:13,2025-07-16 01:42:00,Arrival Baggage Claim Belt,Soft Shell,31.216666666666665,497,31.216666666666665,1,2,2,Delayed (30+ min)
