Bag_Tag_ID,Passenger_ID,Flight_Number,Delivery_Status,Claim_Category,Baggage_Claim_Submitted,Passenger_Arrival_Time,Final_Delivery_Time,Delivery_Delay_Minutes,Transfer_Flight_Count,Baggage_Tracking_Sensor_Data,Calculated_Delivery_Delay_Minutes,Is_Mishandled,Transfer_Risk_Flag,Sensor_Tracking_Gap_Flag,Arrival_Hour,Arrival_Day_of_Week
TAG384879,PAX57315,AI232,Delivered,No Claim,0,2025-07-16 07:54:00,2025-07-16 08:12:08,18.14,0,Partial Data,18.133333333333333,0,0,1,7,2
TAG639236,PAX79046,AI671,Delivered,No Claim,0,2025-07-16 11:25:00,2025-07-16 11:38:50,13.85,0,Complete,13.833333333333334,0,0,0,11,2
TAG270697,PAX27937,AI438,Delivered,No Claim,0,2025-07-16 17:51:00,2025-07-16 18:03:42,12.71,0,Complete,12.7,0,0,0,17,2
TAG948708,PAX66118,AI526,Delivered,No Claim,0,2025-07-16 01:20:00,2025-07-16 01:36:50,16.84,1,Complete,16.833333333333332,0,1,0,1,2
TAG910471,PAX86489,AI618,Delivered,No Claim,0,2025-07-16 13:50:00,2025-07-16 14:08:24,18.41,0,Complete,18.4,0,0,0,13,2
TAG890930,PAX68953,AI651,Delivered,No Claim,0,2025-07-16 14:17:00,2025-07-16 14:27:00,10.0,1,Complete,10.0,0,1,0,14,2
TAG413157,PAX31966,AI241,Delivered,No Claim,0,2025-07-16 15:45:00,2025-07-16 15:57:41,12.69,0,Complete,12.683333333333334,0,0,0,15,2
TAG454303,PAX76874,AI445,Delivered,No Claim,0,2025-07-16 23:57:00,2025-07-17 00:12:39,15.66,1,Complete,15.65,0,1,0,23,2
TAG801827,PAX46649,AI654,Delivered,No Claim,0,2025-07-16 20:21:00,2025-07-16 20:35:29,14.5,0,Missing Data,14.483333333333333,0,0,1,20,2
TAG868488,PAX87112,AI532,Delivered,No Claim,0,2025-07-16 11:50:00,2025-07-16 12:04:57,14.96,1,Complete,14.95,0,1,0,11,2
TAG432741,PAX90432,AI394,Delivered,No Claim,0,2025-07-16 05:32:00,2025-07-16 05:44:03,12.07,0,Sensor Malfunction,12.05,0,0,1,5,2
TAG235158,PAX49916,AI729,Delivered,No Claim,0,2025-07-16 03:05:00,2025-07-16 03:22:04,17.08,0,Missing Data,17.066666666666666,0,0,1,3,2
TAG951881,PAX66112,AI440,Delivered,No Claim,0,2025-07-16 00:08:00,2025-07-16 00:27:45,19.75,0,Complete,19.75,0,0,0,0,2
TAG992351,PAX10820,AI140,Delivered,No Claim,0,2025-07-16 01:09:00,2025-07-16 01:21:37,12.63,1,Complete,12.616666666666667,0,1,0,1,2
TAG940561,PAX50218,AI481,Delivered,No Claim,0,2025-07-16 20:14:00,2025-07-16 20:31:04,17.08,0,Complete,17.066666666666666,0,0,0,20,2
TAG714812,PAX94848,AI999,Delivered,No Claim,0,2025-07-16 07:04:00,2025-07-16 07:22:03,18.07,1,Complete,18.05,0,1,0,7,2
TAG347905,PAX27187,AI758,Delivered,No Claim,0,2025-07-16 03:51:00,2025-07-16 04:06:38,15.63,0,Partial Data,15.633333333333333,0,0,1,3,2
TAG441813,PAX51599,AI170,Delivered,No Claim,0,2025-07-16 06:00:00,2025-07-16 06:16:56,16.94,0,Complete,16.933333333333334,0,0,0,6,2
TAG439714,PAX54555,AI592,Delivered,No Claim,0,2025-07-16 01:33:00,2025-07-16 01:45:56,12.95,0,Complete,12.933333333333334,0,0,0,1,2
TAG314005,PAX93023,AI748,Delivered,No Claim,0,2025-07-16 13:35:00,2025-07-16 13:54:32,19.55,0,Complete,19.533333333333335,0,0,0,13,2
TAG874011,PAX33874,AI798,Delivered,No Claim,0,2025-07-16 03:18:00,2025-07-16 03:36:26,18.44,0,Complete,18.433333333333334,0,0,0,3,2
TAG417993,PAX47272,AI971,Delivered,No Claim,0,2025-07-16 16:33:00,2025-07-16 16:51:49,18.82,0,Complete,18.816666666666666,0,0,0,16,2
TAG746875,PAX60209,AI495,Delivered,No Claim,0,2025-07-16 18:39:00,2025-07-16 18:50:35,11.59,2,Complete,11.583333333333334,0,1,0,18,2
TAG851553,PAX74307,AI247,Delivered,No Claim,0,2025-07-16 15:54:00,2025-07-16 16:10:31,16.53,0,Complete,16.516666666666666,0,0,0,15,2
TAG823895,PAX39109,AI533,Delivered,No Claim,0,2025-07-16 14:57:00,2025-07-16 15:10:09,13.15,0,Partial Data,13.15,0,0,1,14,2
TAG768280,PAX67811,AI836,Delivered,No Claim,0,2025-07-16 09:41:00,2025-07-16 10:00:51,19.85,0,Complete,19.85,0,0,0,9,2
TAG533354,PAX29622,AI864,Delivered,No Claim,0,2025-07-16 00:08:00,2025-07-16 00:20:41,12.69,1,Complete,12.683333333333334,0,1,0,0,2
TAG484087,PAX77543,AI856,Delivered,No Claim,0,2025-07-16 22:10:00,2025-07-16 22:25:45,15.76,0,Complete,15.75,0,0,0,22,2
TAG486750,PAX47737,AI314,Delivered,No Claim,0,2025-07-16 02:33:00,2025-07-16 02:43:00,10.0,0,Complete,10.0,0,0,0,2,2
TAG329049,PAX32658,AI824,Delivered,No Claim,0,2025-07-16 17:51:00,2025-07-16 18:06:44,15.74,1,Complete,15.733333333333333,0,1,0,17,2
TAG956011,PAX23875,AI854,Delivered,No Claim,0,2025-07-16 04:12:00,2025-07-16 04:23:37,11.62,0,Complete,11.616666666666667,0,0,0,4,2
TAG976964,PAX18246,AI229,Delivered,No Claim,0,2025-07-16 06:38:00,2025-07-16 06:54:41,16.69,0,Complete,16.683333333333334,0,0,0,6,2
TAG250169,PAX94560,AI107,Delivered,No Claim,0,2025-07-16 20:19:00,2025-07-16 20:33:35,14.59,1,Partial Data,14.583333333333334,0,1,1,20,2
TAG754382,PAX22137,AI160,Delivered,No Claim,0,2025-07-16 12:47:00,2025-07-16 13:00:55,13.93,2,Complete,13.916666666666666,0,1,0,12,2
TAG108509,PAX21776,AI632,Delivered,No Claim,0,2025-07-16 07:26:00,2025-07-16 07:45:56,19.94,1,Complete,19.933333333333334,0,1,0,7,2
TAG375136,PAX74164,AI263,Delivered,No Claim,0,2025-07-16 06:45:00,2025-07-16 07:06:55,21.92,1,Complete,21.916666666666668,0,1,0,6,2
TAG679596,PAX70710,AI453,Delivered,No Claim,0,2025-07-16 00:34:00,2025-07-16 00:44:48,10.8,0,Complete,10.8,0,0,0,0,2
TAG273077,PAX71821,AI513,Delivered,No Claim,0,2025-07-16 16:45:00,2025-07-16 16:59:01,14.03,0,Complete,14.016666666666667,0,0,0,16,2
TAG191322,PAX97183,AI566,Delivered,No Claim,0,2025-07-16 05:50:00,2025-07-16 06:07:34,17.58,0,Partial Data,17.566666666666666,0,0,1,5,2
TAG289441,PAX55886,AI591,Delivered,No Claim,0,2025-07-16 14:20:00,2025-07-16 14:36:09,16.15,1,Complete,16.15,0,1,0,14,2
TAG372986,PAX57603,AI675,Delivered,No Claim,0,2025-07-16 20:17:00,2025-07-16 20:34:23,17.4,1,Complete,17.383333333333333,0,1,0,20,2
TAG607336,PAX27782,AI488,Delivered,No Claim,0,2025-07-16 04:55:00,2025-07-16 05:09:47,14.8,1,Complete,14.783333333333333,0,1,0,4,2
TAG698966,PAX14285,AI433,Delivered,No Claim,0,2025-07-16 04:39:00,2025-07-16 04:57:34,18.58,0,Complete,18.566666666666666,0,0,0,4,2
TAG194617,PAX76968,AI936,Delivered,No Claim,0,2025-07-16 21:47:00,2025-07-16 22:02:37,15.62,0,Complete,15.616666666666667,0,0,0,21,2
TAG575606,PAX60123,AI773,Delivered,No Claim,0,2025-07-16 17:15:00,2025-07-16 17:31:20,16.34,0,Complete,16.333333333333332,0,0,0,17,2
TAG864995,PAX23402,AI501,Delivered,No Claim,0,2025-07-16 01:35:00,2025-07-16 01:46:37,11.63,0,Complete,11.616666666666667,0,0,0,1,2
TAG290476,PAX67610,AI223,Delivered,No Claim,0,2025-07-16 20:30:00,2025-07-16 20:45:18,15.31,0,Complete,15.3,0,0,0,20,2
TAG284076,PAX18299,AI568,Delivered,No Claim,0,2025-07-16 21:13:00,2025-07-16 21:30:36,17.61,1,Complete,17.6,0,1,0,21,2
TAG307954,PAX68051,AI906,Delivered,No Claim,0,2025-07-16 22:46:00,2025-07-16 23:01:58,15.98,0,Complete,15.966666666666667,0,0,0,22,2
TAG327824,PAX83988,AI771,Delivered,No Claim,0,2025-07-16 18:11:00,2025-07-16 18:32:06,21.11,2,Complete,21.1,0,1,0,18,2
TAG978560,PAX13836,AI433,Delivered,No Claim,0,2025-07-16 05:11:00,2025-07-16 05:26:26,15.44,0,Complete,15.433333333333334,0,0,0,5,2
TAG262730,PAX85582,AI680,Delivered,No Claim,0,2025-07-16 19:13:00,2025-07-16 19:29:31,16.53,0,Complete,16.516666666666666,0,0,0,19,2
TAG876989,PAX63993,AI275,Delivered,No Claim,0,2025-07-16 03:46:00,2025-07-16 04:01:36,15.61,2,Complete,15.6,0,1,0,3,2
TAG547846,PAX52854,AI773,Delivered,No Claim,0,2025-07-16 18:04:00,2025-07-16 18:18:53,14.9,0,Complete,14.883333333333333,0,0,0,18,2
TAG771463,PAX49740,AI341,Delivered,No Claim,0,2025-07-16 17:35:00,2025-07-16 17:52:43,17.72,0,Partial Data,17.716666666666665,0,0,1,17,2
TAG250861,PAX40992,AI270,Delivered,No Claim,0,2025-07-16 10:41:00,2025-07-16 10:55:41,14.69,1,Complete,14.683333333333334,0,1,0,10,2
TAG481359,PAX42049,AI908,Delivered,No Claim,0,2025-07-16 18:54:00,2025-07-16 19:05:27,11.46,0,Sensor Malfunction,11.45,0,0,1,18,2
TAG666402,PAX36632,AI427,Delivered,No Claim,0,2025-07-16 17:19:00,2025-07-16 17:38:46,19.78,1,Complete,19.766666666666666,0,1,0,17,2
TAG379737,PAX64771,AI225,Delivered,No Claim,0,2025-07-16 15:46:00,2025-07-16 15:59:14,13.24,2,Complete,13.233333333333333,0,1,0,15,2
TAG775918,PAX70689,AI854,Delivered,No Claim,0,2025-07-16 23:56:00,2025-07-17 00:06:40,10.67,2,Complete,10.666666666666666,0,1,0,23,2
TAG617054,PAX38687,AI265,Delivered,No Claim,0,2025-07-16 12:18:00,2025-07-16 12:34:54,16.91,1,Partial Data,16.9,0,1,1,12,2
TAG359140,PAX12563,AI684,Delivered,No Claim,0,2025-07-16 10:16:00,2025-07-16 10:36:13,20.23,2,Partial Data,20.216666666666665,0,1,1,10,2
TAG366229,PAX85708,AI930,Delivered,No Claim,0,2025-07-16 15:39:00,2025-07-16 15:55:59,16.99,1,Complete,16.983333333333334,0,1,0,15,2
TAG850246,PAX25267,AI284,Delivered,No Claim,0,2025-07-16 14:38:00,2025-07-16 14:57:14,19.24,0,Complete,19.233333333333334,0,0,0,14,2
TAG964937,PAX86318,AI549,Delivered,No Claim,0,2025-07-16 00:11:00,2025-07-16 00:23:22,12.38,0,Complete,12.366666666666667,0,0,0,0,2
TAG698782,PAX32849,AI550,Delivered,No Claim,0,2025-07-16 02:10:00,2025-07-16 02:21:29,11.5,0,Complete,11.483333333333333,0,0,0,2,2
TAG158130,PAX53399,AI352,Delivered,No Claim,0,2025-07-16 21:57:00,2025-07-16 22:11:00,14.01,0,Complete,14.0,0,0,0,21,2
TAG724842,PAX71408,AI877,Delivered,No Claim,0,2025-07-16 16:58:00,2025-07-16 17:16:19,18.32,2,Partial Data,18.316666666666666,0,1,1,16,2
TAG621877,PAX24747,AI319,Delivered,No Claim,0,2025-07-16 15:45:00,2025-07-16 16:01:41,16.7,0,Complete,16.683333333333334,0,0,0,15,2
TAG957211,PAX52844,AI241,Delivered,No Claim,0,2025-07-16 18:35:00,2025-07-16 18:51:55,16.93,0,Complete,16.916666666666668,0,0,0,18,2
TAG644153,PAX41854,AI233,Delivered,No Claim,0,2025-07-16 04:01:00,2025-07-16 04:16:26,15.44,1,Complete,15.433333333333334,0,1,0,4,2
TAG951780,PAX98502,AI870,Delivered,No Claim,0,2025-07-16 03:08:00,2025-07-16 03:22:04,14.07,1,Complete,14.066666666666666,0,1,0,3,2
TAG931765,PAX57750,AI506,Delivered,No Claim,0,2025-07-16 23:50:00,2025-07-17 00:05:34,15.58,1,Complete,15.566666666666666,0,1,0,23,2
TAG861380,PAX17115,AI661,Delivered,No Claim,0,2025-07-16 06:11:00,2025-07-16 06:25:35,14.58,0,Sensor Malfunction,14.583333333333334,0,0,1,6,2
TAG139486,PAX15828,AI371,Delivered,No Claim,0,2025-07-16 17:31:00,2025-07-16 17:44:52,13.87,0,Complete,13.866666666666667,0,0,0,17,2
TAG736045,PAX99917,AI576,Delivered,No Claim,0,2025-07-16 16:32:00,2025-07-16 16:48:14,16.24,0,Partial Data,16.233333333333334,0,0,1,16,2
TAG630490,PAX84569,AI548,Delivered,No Claim,0,2025-07-16 11:43:00,2025-07-16 11:57:18,14.3,0,Complete,14.3,0,0,0,11,2
TAG320815,PAX58784,AI783,Delivered,No Claim,0,2025-07-16 16:22:00,2025-07-16 16:37:52,15.88,0,Complete,15.866666666666667,0,0,0,16,2
TAG293626,PAX41037,AI752,Delivered,No Claim,0,2025-07-16 17:25:00,2025-07-16 17:35:00,10.0,0,Missing Data,10.0,0,0,1,17,2
TAG163838,PAX15300,AI306,Delivered,No Claim,0,2025-07-16 00:17:00,2025-07-16 00:32:37,15.62,2,Complete,15.616666666666667,0,1,0,0,2
TAG416778,PAX40970,AI497,Delivered,No Claim,0,2025-07-16 20:05:00,2025-07-16 20:19:16,14.28,0,Complete,14.266666666666667,0,0,0,20,2
TAG954246,PAX85060,AI975,Delivered,No Claim,0,2025-07-16 18:20:00,2025-07-16 18:39:26,19.43,1,Complete,19.433333333333334,0,1,0,18,2
TAG214798,PAX70321,AI168,Delivered,No Claim,0,2025-07-16 11:53:00,2025-07-16 12:03:33,10.55,0,Complete,10.55,0,0,0,11,2
TAG270922,PAX37531,AI992,Delivered,No Claim,0,2025-07-16 23:36:00,2025-07-16 23:51:23,15.39,0,Sensor Malfunction,15.383333333333333,0,0,1,23,2
TAG198114,PAX12993,AI897,Delivered,No Claim,0,2025-07-16 04:41:00,2025-07-16 04:58:39,17.65,1,Complete,17.65,0,1,0,4,2
TAG705225,PAX31951,AI897,Delivered,No Claim,0,2025-07-16 23:37:00,2025-07-16 23:51:42,14.7,0,Complete,14.7,0,0,0,23,2
TAG885675,PAX55645,AI779,Delivered,No Claim,0,2025-07-16 00:05:00,2025-07-16 00:19:10,14.18,0,Complete,14.166666666666666,0,0,0,0,2
TAG417499,PAX36062,AI589,Delivered,No Claim,0,2025-07-16 08:41:00,2025-07-16 08:58:38,17.64,1,Complete,17.633333333333333,0,1,0,8,2
TAG870621,PAX77027,AI297,Delivered,No Claim,0,2025-07-16 01:39:00,2025-07-16 01:55:37,16.62,2,Complete,16.616666666666667,0,1,0,1,2
TAG963239,PAX35733,AI105,Delivered,No Claim,0,2025-07-16 18:26:00,2025-07-16 18:42:51,16.86,1,Complete,16.85,0,1,0,18,2
TAG592932,PAX20832,AI315,Delivered,No Claim,0,2025-07-16 21:37:00,2025-07-16 21:50:52,13.87,0,Complete,13.866666666666667,0,0,0,21,2
TAG624146,PAX22180,AI723,Delivered,No Claim,0,2025-07-16 03:09:00,2025-07-16 03:22:30,13.51,1,Complete,13.5,0,1,0,3,2
TAG517143,PAX16346,AI748,Delivered,No Claim,0,2025-07-16 04:46:00,2025-07-16 05:01:52,15.88,0,Complete,15.866666666666667,0,0,0,4,2
TAG259160,PAX25146,AI312,Delivered,No Claim,0,2025-07-16 05:07:00,2025-07-16 05:24:54,17.91,1,Complete,17.9,0,1,0,5,2
TAG820147,PAX70338,AI519,Delivered,No Claim,0,2025-07-16 14:48:00,2025-07-16 14:59:06,11.11,0,Complete,11.1,0,0,0,14,2
TAG792251,PAX28302,AI154,Delivered,No Claim,0,2025-07-16 03:38:00,2025-07-16 03:52:48,14.81,0,Partial Data,14.8,0,0,1,3,2
TAG908847,PAX98268,AI191,Delivered,No Claim,0,2025-07-16 03:07:00,2025-07-16 03:20:38,13.63,1,Complete,13.633333333333333,0,1,0,3,2
TAG501166,PAX62782,AI207,Delivered,No Claim,0,2025-07-16 04:58:00,2025-07-16 05:13:09,15.16,1,Partial Data,15.15,0,1,1,4,2
TAG289485,PAX15485,AI223,Delivered,No Claim,0,2025-07-16 19:46:00,2025-07-16 20:03:20,17.34,0,Complete,17.333333333333332,0,0,0,19,2
TAG133467,PAX68522,AI239,Delivered,No Claim,0,2025-07-16 23:21:00,2025-07-16 23:33:38,12.64,0,Missing Data,12.633333333333333,0,0,1,23,2
TAG793861,PAX79357,AI878,Delivered,No Claim,0,2025-07-16 14:59:00,2025-07-16 15:15:58,16.97,1,Complete,16.966666666666665,0,1,0,14,2
TAG360753,PAX35945,AI737,Delivered,No Claim,0,2025-07-16 23:46:00,2025-07-16 23:59:58,13.97,0,Complete,13.966666666666667,0,0,0,23,2
TAG324488,PAX14852,AI400,Delivered,No Claim,0,2025-07-16 18:12:00,2025-07-16 18:30:25,18.43,1,Partial Data,18.416666666666668,0,1,1,18,2
TAG552406,PAX59844,AI445,Delivered,No Claim,0,2025-07-16 06:34:00,2025-07-16 06:46:47,12.8,0,Complete,12.783333333333333,0,0,0,6,2
TAG114060,PAX96551,AI283,Delivered,No Claim,0,2025-07-16 14:41:00,2025-07-16 14:58:52,17.87,1,Partial Data,17.866666666666667,0,1,1,14,2
TAG797453,PAX49513,AI895,Delivered,No Claim,0,2025-07-16 16:06:00,2025-07-16 16:17:23,11.39,0,Sensor Malfunction,11.383333333333333,0,0,1,16,2
TAG256900,PAX46968,AI280,Delivered,No Claim,0,2025-07-16 03:05:00,2025-07-16 03:20:40,15.68,1,Complete,15.666666666666666,0,1,0,3,2
TAG398267,PAX12976,AI908,Delivered,No Claim,0,2025-07-16 17:43:00,2025-07-16 18:00:02,17.04,0,Partial Data,17.033333333333335,0,0,1,17,2
TAG513960,PAX91965,AI637,Delivered,No Claim,0,2025-07-16 04:59:00,2025-07-16 05:11:52,12.87,1,Missing Data,12.866666666666667,0,1,1,4,2
TAG453533,PAX11145,AI690,Delivered,No Claim,0,2025-07-16 21:20:00,2025-07-16 21:30:00,10.0,1,Missing Data,10.0,0,1,1,21,2
TAG241174,PAX29677,AI710,Delivered,No Claim,0,2025-07-16 09:24:00,2025-07-16 09:37:43,13.73,1,Complete,13.716666666666667,0,1,0,9,2
TAG235064,PAX12243,AI960,Delivered,No Claim,0,2025-07-16 18:12:00,2025-07-16 18:27:11,15.19,0,Complete,15.183333333333334,0,0,0,18,2
TAG834659,PAX58067,AI458,Delivered,No Claim,0,2025-07-16 23:24:00,2025-07-16 23:38:10,14.17,0,Complete,14.166666666666666,0,0,0,23,2
TAG980432,PAX18653,AI929,Delivered,No Claim,0,2025-07-16 23:47:00,2025-07-17 00:00:27,13.46,2,Complete,13.45,0,1,0,23,2
TAG786981,PAX10162,AI924,Delivered,No Claim,0,2025-07-16 06:45:00,2025-07-16 07:02:41,17.69,0,Complete,17.683333333333334,0,0,0,6,2
TAG799348,PAX84562,AI710,Delivered,No Claim,0,2025-07-16 11:08:00,2025-07-16 11:26:46,18.77,0,Complete,18.766666666666666,0,0,0,11,2
TAG917070,PAX86475,AI608,Delivered,No Claim,0,2025-07-16 00:49:00,2025-07-16 01:07:33,18.56,0,Complete,18.55,0,0,0,0,2
TAG201888,PAX39997,AI564,Delivered,No Claim,0,2025-07-16 03:09:00,2025-07-16 03:25:29,16.49,0,Complete,16.483333333333334,0,0,0,3,2
TAG388842,PAX35002,AI534,Delivered,No Claim,0,2025-07-16 11:35:00,2025-07-16 11:51:54,16.91,0,Missing Data,16.9,0,0,1,11,2
TAG442505,PAX80731,AI475,Delivered,No Claim,0,2025-07-16 12:19:00,2025-07-16 12:31:23,12.4,1,Complete,12.383333333333333,0,1,0,12,2
TAG899614,PAX27083,AI317,Delivered,No Claim,0,2025-07-16 00:16:00,2025-07-16 00:30:54,14.91,1,Complete,14.9,0,1,0,0,2
TAG178589,PAX30469,AI126,Delivered,No Claim,0,2025-07-16 04:30:00,2025-07-16 04:45:25,15.43,2,Complete,15.416666666666666,0,1,0,4,2
TAG156429,PAX65372,AI226,Delivered,No Claim,0,2025-07-16 11:39:00,2025-07-16 11:54:59,15.99,0,Complete,15.983333333333333,0,0,0,11,2
TAG269820,PAX72824,AI336,Delivered,No Claim,0,2025-07-16 17:31:00,2025-07-16 17:46:56,15.94,1,Complete,15.933333333333334,0,1,0,17,2
TAG391431,PAX17904,AI270,Delivered,No Claim,0,2025-07-16 19:39:00,2025-07-16 19:54:11,15.2,0,Complete,15.183333333333334,0,0,0,19,2
TAG164506,PAX68079,AI836,Delivered,No Claim,0,2025-07-16 23:05:00,2025-07-16 23:21:27,16.45,1,Complete,16.45,0,1,0,23,2
TAG552168,PAX65862,AI982,Delivered,No Claim,0,2025-07-16 18:01:00,2025-07-16 18:16:48,15.8,0,Complete,15.8,0,0,0,18,2
TAG532371,PAX39910,AI233,Delivered,No Claim,0,2025-07-16 04:55:00,2025-07-16 05:10:47,15.8,0,Complete,15.783333333333333,0,0,0,4,2
TAG395068,PAX79605,AI765,Delivered,No Claim,0,2025-07-16 03:21:00,2025-07-16 03:34:03,13.05,1,Partial Data,13.05,0,1,1,3,2
TAG434952,PAX44217,AI984,Delivered,No Claim,0,2025-07-16 05:52:00,2025-07-16 06:03:45,11.76,0,Complete,11.75,0,0,0,5,2
TAG817696,PAX92802,AI757,Delivered,No Claim,0,2025-07-16 00:14:00,2025-07-16 00:30:00,16.01,1,Complete,16.0,0,1,0,0,2
TAG835262,PAX47415,AI133,Delivered,No Claim,0,2025-07-16 07:03:00,2025-07-16 07:16:51,13.85,1,Complete,13.85,0,1,0,7,2
TAG230751,PAX12209,AI730,Delivered,No Claim,0,2025-07-16 11:58:00,2025-07-16 12:11:10,13.18,0,Complete,13.166666666666666,0,0,0,11,2
TAG525239,PAX75062,AI677,Delivered,No Claim,0,2025-07-16 20:28:00,2025-07-16 20:45:07,17.12,0,Complete,17.116666666666667,0,0,0,20,2
TAG486469,PAX65468,AI905,Delivered,No Claim,0,2025-07-16 09:39:00,2025-07-16 09:53:56,14.94,0,Complete,14.933333333333334,0,0,0,9,2
TAG168034,PAX58613,AI553,Delivered,No Claim,0,2025-07-16 18:43:00,2025-07-16 19:02:15,19.26,2,Complete,19.25,0,1,0,18,2
TAG916190,PAX55617,AI480,Delivered,No Claim,0,2025-07-16 09:27:00,2025-07-16 09:43:46,16.78,2,Complete,16.766666666666666,0,1,0,9,2
TAG984479,PAX32607,AI352,Delivered,No Claim,0,2025-07-16 08:30:00,2025-07-16 08:42:52,12.88,0,Complete,12.866666666666667,0,0,0,8,2
TAG982459,PAX23949,AI240,Delivered,No Claim,0,2025-07-16 08:29:00,2025-07-16 08:46:09,17.16,0,Missing Data,17.15,0,0,1,8,2
TAG555275,PAX10358,AI213,Delivered,No Claim,0,2025-07-16 01:35:00,2025-07-16 01:51:18,16.31,1,Complete,16.3,0,1,0,1,2
TAG162283,PAX25533,AI916,Delivered,No Claim,0,2025-07-16 16:07:00,2025-07-16 16:19:46,12.78,0,Complete,12.766666666666667,0,0,0,16,2
TAG140611,PAX37160,AI127,Delivered,No Claim,0,2025-07-16 23:50:00,2025-07-17 00:03:30,13.5,0,Complete,13.5,0,0,0,23,2
TAG532613,PAX82593,AI335,Delivered,No Claim,0,2025-07-16 03:28:00,2025-07-16 03:45:00,17.01,1,Complete,17.0,0,1,0,3,2
TAG518002,PAX46198,AI881,Delivered,No Claim,0,2025-07-16 02:31:00,2025-07-16 02:41:00,10.0,0,Complete,10.0,0,0,0,2,2
TAG269737,PAX65549,AI628,Delivered,No Claim,0,2025-07-16 01:34:00,2025-07-16 01:44:00,10.0,0,Complete,10.0,0,0,0,1,2
TAG113766,PAX77744,AI199,Delivered,No Claim,0,2025-07-16 23:42:00,2025-07-16 23:57:37,15.62,0,Complete,15.616666666666667,0,0,0,23,2
