Flight_Number,Aircraft_Block_In_Time,Last_Bag_Delivery_Time,Delivery_Duration_Minutes,SLA_Met,Belt_Assigned,Ground_Crew_Assigned,Number_of_Bags,Belt_Occupancy_Status,First_Bag_Delivery_Time,Belt_Utilization_Index,Gate_Position,Weather_Condition_at_Arrival,Calculated_Delivery_Duration_Minutes,SLA_Compliance,Arrival_Hour,Arrival_Day_of_Week
AI371,2025-07-16 04:15:00,2025-07-16 04:45:00,30.0,1,B4,Crew_D,102,Busy,2025-07-16 04:32:08,0.64,Finger,Clear,30.0,1,4,2
AI470,2025-07-16 07:08:00,2025-07-16 07:38:00,30.0,1,B1,Crew_B,206,Busy,2025-07-16 07:27:34,0.72,Remote,Rain,30.0,1,7,2
AI742,2025-07-16 05:50:00,2025-07-16 06:20:00,30.0,1,B4,Crew_D,54,Busy,2025-07-16 06:13:17,0.73,Finger,Clear,30.0,1,5,2
AI641,2025-07-16 08:35:00,2025-07-16 09:05:00,30.0,1,B1,Crew_C,61,Very Busy,2025-07-16 08:46:13,0.8,Remote,Rain,30.0,1,8,2
AI887,2025-07-16 20:21:00,2025-07-16 20:42:33,21.55,1,B1,Crew_C,148,Free,2025-07-16 20:32:29,0.38,Contact,Clear,21.55,1,20,2
AI612,2025-07-16 05:32:00,2025-07-16 06:02:00,30.0,1,B2,Crew_B,224,Very Busy,2025-07-16 05:48:13,0.87,Finger,Clear,30.0,1,5,2
AI482,2025-07-16 05:34:00,2025-07-16 06:04:00,30.0,1,B3,Crew_D,152,Very Busy,2025-07-16 05:43:02,0.88,Finger,Fog,30.0,1,5,2
AI119,2025-07-16 03:59:00,2025-07-16 04:29:00,30.0,1,B2,Crew_A,101,Free,2025-07-16 04:06:47,0.42,Contact,Clear,30.0,1,3,2
AI187,2025-07-16 23:31:00,2025-07-17 00:01:00,30.0,1,B2,Crew_D,192,Very Busy,2025-07-16 23:37:32,0.79,Finger,Rain,30.0,1,23,2
AI662,2025-07-16 05:16:00,2025-07-16 05:46:00,30.0,1,B2,Crew_B,135,Busy,2025-07-16 05:26:54,0.62,Finger,Clear,30.0,1,5,2
AI830,2025-07-16 09:25:00,2025-07-16 09:55:00,30.0,1,B4,Crew_A,77,Very Busy,2025-07-16 09:47:51,0.83,Finger,Clear,30.0,1,9,2
AI353,2025-07-16 07:04:00,2025-07-16 07:30:39,26.66,1,B2,Crew_A,141,Free,2025-07-16 07:13:32,0.43,Finger,Clear,26.65,1,7,2
AI172,2025-07-16 22:40:00,2025-07-16 23:10:00,30.0,1,B3,Crew_A,170,Free,2025-07-16 22:45:08,0.4,Remote,Fog,30.0,1,22,2
AI626,2025-07-16 07:17:00,2025-07-16 07:47:00,30.0,1,B4,Crew_B,186,Busy,2025-07-16 07:27:23,0.64,Remote,Clear,30.0,1,7,2
AI903,2025-07-16 15:51:00,2025-07-16 16:19:36,28.6,1,B4,Crew_C,108,Busy,2025-07-16 16:09:04,0.65,Remote,Clear,28.6,1,15,2
AI533,2025-07-16 13:29:00,2025-07-16 13:59:00,30.0,1,B1,Crew_A,235,Very Busy,2025-07-16 13:39:41,0.76,Remote,Rain,30.0,1,13,2
AI512,2025-07-16 23:21:00,2025-07-16 23:51:00,30.0,1,B2,Crew_D,162,Very Busy,2025-07-16 23:26:39,0.8,Remote,Clear,30.0,1,23,2
AI243,2025-07-16 13:11:00,2025-07-16 13:38:25,27.43,1,B1,Crew_D,178,Free,2025-07-16 13:24:31,0.5,Remote,Storm,27.416666666666668,1,13,2
AI927,2025-07-16 17:06:00,2025-07-16 17:32:02,26.05,1,B1,Crew_B,209,Free,2025-07-16 17:16:55,0.35,Finger,Storm,26.033333333333335,1,17,2
AI270,2025-07-16 13:31:00,2025-07-16 14:01:00,30.0,1,B2,Crew_D,87,Busy,2025-07-16 13:48:40,0.68,Contact,Fog,30.0,1,13,2
AI102,2025-07-16 12:16:00,2025-07-16 12:46:00,30.0,1,B4,Crew_B,193,Very Busy,2025-07-16 12:24:43,0.76,Contact,Clear,30.0,1,12,2
AI294,2025-07-16 09:13:00,2025-07-16 09:43:00,30.0,1,B1,Crew_C,197,Very Busy,2025-07-16 09:32:13,0.87,Finger,Rain,30.0,1,9,2
AI158,2025-07-16 01:37:00,2025-07-16 02:04:45,27.76,1,B1,Crew_B,197,Busy,2025-07-16 01:54:16,0.66,Finger,Clear,27.75,1,1,2
AI170,2025-07-16 19:04:00,2025-07-16 19:34:00,30.0,1,B2,Crew_A,131,Busy,2025-07-16 19:23:42,0.63,Remote,Clear,30.0,1,19,2
AI734,2025-07-16 02:26:00,2025-07-16 02:56:00,30.0,1,B3,Crew_B,208,Busy,2025-07-16 02:44:11,0.72,Finger,Clear,30.0,1,2,2
AI785,2025-07-16 22:20:00,2025-07-16 22:46:11,26.19,1,B3,Crew_D,109,Free,2025-07-16 22:39:17,0.34,Contact,Clear,26.183333333333334,1,22,2
AI423,2025-07-16 02:00:00,2025-07-16 02:30:00,30.0,1,B1,Crew_B,148,Busy,2025-07-16 02:22:07,0.66,Finger,Fog,30.0,1,2,2
AI618,2025-07-16 08:08:00,2025-07-16 08:38:00,30.0,1,B3,Crew_C,210,Very Busy,2025-07-16 08:16:13,0.88,Remote,Storm,30.0,1,8,2
AI261,2025-07-16 14:53:00,2025-07-16 15:22:47,29.79,1,B1,Crew_C,133,Busy,2025-07-16 15:16:36,0.75,Contact,Rain,29.783333333333335,1,14,2
AI779,2025-07-16 03:56:00,2025-07-16 04:24:05,28.09,1,B2,Crew_C,195,Free,2025-07-16 04:13:31,0.43,Remote,Storm,28.083333333333332,1,3,2
AI388,2025-07-16 19:13:00,2025-07-16 19:43:00,30.0,1,B3,Crew_D,218,Busy,2025-07-16 19:25:19,0.71,Remote,Rain,30.0,1,19,2
AI357,2025-07-16 01:05:00,2025-07-16 01:35:00,30.0,1,B3,Crew_B,244,Busy,2025-07-16 01:11:52,0.66,Contact,Clear,30.0,1,1,2
AI752,2025-07-16 08:10:00,2025-07-16 08:40:00,30.0,1,B1,Crew_A,168,Busy,2025-07-16 08:34:34,0.67,Finger,Rain,30.0,1,8,2
AI177,2025-07-16 22:57:00,2025-07-16 23:27:00,30.0,1,B2,Crew_D,57,Free,2025-07-16 23:12:03,0.42,Remote,Storm,30.0,1,22,2
AI230,2025-07-16 01:19:00,2025-07-16 01:48:53,29.89,1,B2,Crew_B,241,Free,2025-07-16 01:33:55,0.41,Remote,Storm,29.883333333333333,1,1,2
AI782,2025-07-16 03:22:00,2025-07-16 03:52:00,30.0,1,B2,Crew_B,241,Busy,2025-07-16 03:45:48,0.74,Contact,Fog,30.0,1,3,2
AI985,2025-07-16 05:51:00,2025-07-16 06:21:00,30.0,1,B3,Crew_D,166,Very Busy,2025-07-16 06:15:03,0.8,Contact,Clear,30.0,1,5,2
AI921,2025-07-16 21:55:00,2025-07-16 22:25:00,30.0,1,B1,Crew_D,95,Busy,2025-07-16 22:07:42,0.73,Remote,Clear,30.0,1,21,2
AI993,2025-07-16 01:54:00,2025-07-16 02:24:00,30.0,1,B4,Crew_C,116,Busy,2025-07-16 02:17:43,0.7,Remote,Storm,30.0,1,1,2
AI412,2025-07-16 07:14:00,2025-07-16 07:40:20,26.34,1,B3,Crew_A,153,Free,2025-07-16 07:23:09,0.36,Remote,Clear,26.333333333333332,1,7,2
AI891,2025-07-16 08:22:00,2025-07-16 08:52:00,30.0,1,B3,Crew_A,66,Busy,2025-07-16 08:32:55,0.66,Contact,Rain,30.0,1,8,2
AI218,2025-07-16 08:11:00,2025-07-16 08:41:00,30.0,1,B4,Crew_C,99,Busy,2025-07-16 08:31:57,0.7,Contact,Clear,30.0,1,8,2
AI846,2025-07-16 10:27:00,2025-07-16 10:56:23,29.39,1,B2,Crew_C,193,Busy,2025-07-16 10:40:30,0.7,Finger,Clear,29.383333333333333,1,10,2
AI145,2025-07-16 22:27:00,2025-07-16 22:57:00,30.0,1,B2,Crew_C,100,Free,2025-07-16 22:37:43,0.42,Finger,Rain,30.0,1,22,2
AI541,2025-07-16 02:42:00,2025-07-16 03:12:00,30.0,1,B1,Crew_C,135,Very Busy,2025-07-16 02:53:31,0.87,Finger,Clear,30.0,1,2,2
AI619,2025-07-16 09:42:00,2025-07-16 10:12:00,30.0,1,B2,Crew_B,109,Busy,2025-07-16 09:48:42,0.61,Contact,Rain,30.0,1,9,2
AI530,2025-07-16 21:24:00,2025-07-16 21:54:00,30.0,1,B3,Crew_D,165,Busy,2025-07-16 21:31:46,0.62,Remote,Rain,30.0,1,21,2
AI661,2025-07-16 00:19:00,2025-07-16 00:41:17,22.3,1,B3,Crew_D,163,Free,2025-07-16 00:33:46,0.35,Contact,Rain,22.283333333333335,1,0,2
AI552,2025-07-16 14:43:00,2025-07-16 15:10:06,27.11,1,B2,Crew_A,141,Free,2025-07-16 14:51:09,0.32,Contact,Rain,27.1,1,14,2
AI390,2025-07-16 16:42:00,2025-07-16 17:12:00,30.0,1,B2,Crew_C,176,Busy,2025-07-16 16:50:27,0.62,Contact,Clear,30.0,1,16,2
AI330,2025-07-16 06:09:00,2025-07-16 06:37:37,28.63,1,B1,Crew_D,83,Free,2025-07-16 06:17:24,0.49,Remote,Fog,28.616666666666667,1,6,2
AI524,2025-07-16 20:36:00,2025-07-16 21:06:00,30.0,1,B4,Crew_B,178,Free,2025-07-16 20:49:23,0.35,Finger,Clear,30.0,1,20,2
AI251,2025-07-16 20:44:00,2025-07-16 21:11:25,27.43,1,B2,Crew_B,193,Free,2025-07-16 20:50:38,0.36,Remote,Rain,27.416666666666668,1,20,2
AI923,2025-07-16 22:33:00,2025-07-16 23:03:00,30.0,1,B1,Crew_D,239,Busy,2025-07-16 22:39:57,0.67,Finger,Clear,30.0,1,22,2
AI236,2025-07-16 14:42:00,2025-07-16 15:06:22,24.37,1,B4,Crew_D,88,Busy,2025-07-16 14:56:20,0.61,Finger,Clear,24.366666666666667,1,14,2
AI950,2025-07-16 17:28:00,2025-07-16 17:58:00,30.0,1,B4,Crew_C,118,Very Busy,2025-07-16 17:33:18,0.89,Finger,Storm,30.0,1,17,2
AI869,2025-07-16 07:53:00,2025-07-16 08:23:00,30.0,1,B2,Crew_C,145,Busy,2025-07-16 08:01:15,0.61,Finger,Clear,30.0,1,7,2
AI550,2025-07-16 02:45:00,2025-07-16 03:09:26,24.44,1,B1,Crew_B,51,Free,2025-07-16 03:03:34,0.42,Contact,Clear,24.433333333333334,1,2,2
AI254,2025-07-16 07:24:00,2025-07-16 07:51:18,27.31,1,B4,Crew_D,227,Busy,2025-07-16 07:43:02,0.72,Finger,Clear,27.3,1,7,2
AI438,2025-07-16 17:29:00,2025-07-16 17:59:00,30.0,1,B4,Crew_A,61,Busy,2025-07-16 17:52:06,0.63,Remote,Storm,30.0,1,17,2
AI977,2025-07-16 18:24:00,2025-07-16 18:49:49,25.83,1,B4,Crew_D,190,Busy,2025-07-16 18:29:37,0.69,Contact,Clear,25.816666666666666,1,18,2
AI651,2025-07-16 23:47:00,2025-07-17 00:17:00,30.0,1,B4,Crew_B,130,Busy,2025-07-17 00:05:37,0.65,Finger,Storm,30.0,1,23,2
AI379,2025-07-16 13:31:00,2025-07-16 13:56:25,25.42,1,B4,Crew_B,164,Free,2025-07-16 13:46:44,0.43,Contact,Rain,25.416666666666668,1,13,2
AI960,2025-07-16 14:58:00,2025-07-16 15:21:43,23.72,1,B4,Crew_A,206,Free,2025-07-16 15:16:16,0.41,Finger,Clear,23.716666666666665,1,14,2
AI185,2025-07-16 20:27:00,2025-07-16 20:55:27,28.46,1,B3,Crew_D,150,Free,2025-07-16 20:50:17,0.38,Contact,Clear,28.45,1,20,2
AI435,2025-07-16 06:29:00,2025-07-16 06:55:14,26.24,1,B4,Crew_C,145,Free,2025-07-16 06:47:56,0.39,Contact,Clear,26.233333333333334,1,6,2
AI954,2025-07-16 02:30:00,2025-07-16 02:53:59,23.99,1,B3,Crew_B,62,Free,2025-07-16 02:40:17,0.41,Finger,Clear,23.983333333333334,1,2,2
AI765,2025-07-16 02:49:00,2025-07-16 03:19:00,30.0,1,B2,Crew_B,133,Very Busy,2025-07-16 03:11:54,0.81,Remote,Rain,30.0,1,2,2
AI959,2025-07-16 00:39:00,2025-07-16 01:06:55,27.93,1,B1,Crew_B,189,Free,2025-07-16 00:56:07,0.4,Remote,Clear,27.916666666666668,1,0,2
AI576,2025-07-16 22:16:00,2025-07-16 22:46:00,30.0,1,B1,Crew_B,160,Busy,2025-07-16 22:25:15,0.74,Remote,Rain,30.0,1,22,2
AI418,2025-07-16 03:37:00,2025-07-16 03:59:53,22.88,1,B4,Crew_D,193,Free,2025-07-16 03:49:04,0.39,Contact,Clear,22.883333333333333,1,3,2
AI832,2025-07-16 06:04:00,2025-07-16 06:34:00,30.0,1,B3,Crew_A,124,Busy,2025-07-16 06:11:01,0.61,Finger,Clear,30.0,1,6,2
AI915,2025-07-16 18:50:00,2025-07-16 19:10:46,20.77,1,B3,Crew_A,190,Free,2025-07-16 19:04:36,0.33,Finger,Clear,20.766666666666666,1,18,2
AI618,2025-07-16 20:21:00,2025-07-16 20:41:50,20.84,1,B1,Crew_D,78,Free,2025-07-16 20:34:48,0.49,Contact,Storm,20.833333333333332,1,20,2
AI470,2025-07-16 20:57:00,2025-07-16 21:27:00,30.0,1,B2,Crew_C,94,Very Busy,2025-07-16 21:03:40,0.87,Finger,Clear,30.0,1,20,2
AI730,2025-07-16 17:49:00,2025-07-16 18:19:00,30.0,1,B3,Crew_C,231,Busy,2025-07-16 18:00:36,0.67,Contact,Storm,30.0,1,17,2
AI972,2025-07-16 07:53:00,2025-07-16 08:23:00,30.0,1,B2,Crew_D,222,Very Busy,2025-07-16 07:59:07,0.77,Contact,Storm,30.0,1,7,2
AI683,2025-07-16 19:42:00,2025-07-16 20:12:00,30.0,1,B3,Crew_B,110,Free,2025-07-16 20:00:37,0.35,Remote,Clear,30.0,1,19,2
AI599,2025-07-16 06:22:00,2025-07-16 06:49:22,27.37,1,B3,Crew_A,240,Busy,2025-07-16 06:36:10,0.67,Contact,Clear,27.366666666666667,1,6,2
AI629,2025-07-16 06:05:00,2025-07-16 06:30:41,25.7,1,B2,Crew_D,107,Free,2025-07-16 06:11:09,0.41,Contact,Clear,25.683333333333334,1,6,2
AI761,2025-07-16 22:31:00,2025-07-16 22:58:57,27.96,1,B2,Crew_D,69,Busy,2025-07-16 22:53:53,0.7,Remote,Clear,27.95,1,22,2
AI808,2025-07-16 07:19:00,2025-07-16 07:49:00,30.0,1,B3,Crew_D,52,Busy,2025-07-16 07:36:24,0.64,Contact,Clear,30.0,1,7,2
AI863,2025-07-16 17:21:00,2025-07-16 17:45:33,24.55,1,B3,Crew_B,141,Free,2025-07-16 17:29:20,0.35,Contact,Clear,24.55,1,17,2
AI223,2025-07-16 23:12:00,2025-07-16 23:41:46,29.78,1,B2,Crew_B,150,Free,2025-07-16 23:23:07,0.46,Finger,Clear,29.766666666666666,1,23,2
AI321,2025-07-16 23:30:00,2025-07-16 23:58:55,28.93,1,B3,Crew_A,206,Free,2025-07-16 23:46:00,0.48,Finger,Fog,28.916666666666668,1,23,2
AI952,2025-07-16 06:18:00,2025-07-16 06:47:35,29.6,1,B2,Crew_C,59,Free,2025-07-16 06:42:21,0.33,Remote,Clear,29.583333333333332,1,6,2
AI146,2025-07-16 01:35:00,2025-07-16 02:05:00,30.0,1,B4,Crew_A,134,Free,2025-07-16 01:56:34,0.41,Remote,Rain,30.0,1,1,2
AI993,2025-07-16 00:36:00,2025-07-16 00:51:50,15.84,1,B2,Crew_A,210,Free,2025-07-16 00:42:35,0.31,Contact,Clear,15.833333333333334,1,0,2
AI358,2025-07-16 15:07:00,2025-07-16 15:37:00,30.0,1,B1,Crew_B,55,Very Busy,2025-07-16 15:26:59,0.89,Contact,Clear,30.0,1,15,2
AI252,2025-07-16 18:19:00,2025-07-16 18:45:53,26.9,1,B4,Crew_B,72,Free,2025-07-16 18:31:36,0.33,Remote,Clear,26.883333333333333,1,18,2
AI894,2025-07-16 16:24:00,2025-07-16 16:50:02,26.04,1,B4,Crew_C,100,Busy,2025-07-16 16:43:05,0.71,Contact,Clear,26.033333333333335,1,16,2
AI682,2025-07-16 19:03:00,2025-07-16 19:29:54,26.91,1,B2,Crew_B,83,Busy,2025-07-16 19:19:21,0.68,Finger,Clear,26.9,1,19,2
AI370,2025-07-16 21:05:00,2025-07-16 21:32:13,27.23,1,B2,Crew_A,167,Free,2025-07-16 21:24:04,0.49,Remote,Clear,27.216666666666665,1,21,2
AI518,2025-07-16 14:44:00,2025-07-16 15:14:00,30.0,1,B3,Crew_C,106,Busy,2025-07-16 14:57:24,0.72,Contact,Clear,30.0,1,14,2
AI819,2025-07-16 14:04:00,2025-07-16 14:34:00,30.0,1,B2,Crew_D,191,Busy,2025-07-16 14:11:43,0.6,Contact,Rain,30.0,1,14,2
AI217,2025-07-16 17:14:00,2025-07-16 17:44:00,30.0,1,B1,Crew_A,87,Busy,2025-07-16 17:30:05,0.61,Contact,Storm,30.0,1,17,2
AI269,2025-07-16 09:38:00,2025-07-16 10:08:00,30.0,1,B4,Crew_A,101,Busy,2025-07-16 10:01:12,0.64,Finger,Fog,30.0,1,9,2
AI579,2025-07-16 22:19:00,2025-07-16 22:43:46,24.78,1,B4,Crew_D,155,Busy,2025-07-16 22:30:47,0.75,Contact,Clear,24.766666666666666,1,22,2
AI182,2025-07-16 19:02:00,2025-07-16 19:31:12,29.2,1,B3,Crew_A,102,Very Busy,2025-07-16 19:18:07,0.8,Finger,Clear,29.2,1,19,2
AI193,2025-07-16 07:43:00,2025-07-16 08:13:00,30.0,1,B1,Crew_C,160,Very Busy,2025-07-16 07:54:54,0.88,Finger,Clear,30.0,1,7,2
AI690,2025-07-16 01:48:00,2025-07-16 02:18:00,30.0,1,B4,Crew_C,244,Busy,2025-07-16 02:05:02,0.63,Contact,Clear,30.0,1,1,2
AI285,2025-07-16 18:27:00,2025-07-16 18:56:49,29.82,1,B4,Crew_C,70,Busy,2025-07-16 18:35:30,0.61,Contact,Fog,29.816666666666666,1,18,2
AI518,2025-07-16 10:20:00,2025-07-16 10:46:35,26.59,1,B4,Crew_C,50,Busy,2025-07-16 10:39:50,0.62,Remote,Clear,26.583333333333332,1,10,2
AI778,2025-07-16 12:52:00,2025-07-16 13:21:34,29.58,1,B3,Crew_C,94,Busy,2025-07-16 13:06:25,0.7,Remote,Clear,29.566666666666666,1,12,2
AI431,2025-07-16 03:49:00,2025-07-16 04:19:00,30.0,1,B1,Crew_D,105,Busy,2025-07-16 04:10:07,0.71,Finger,Storm,30.0,1,3,2
AI523,2025-07-16 01:12:00,2025-07-16 01:40:54,28.9,1,B4,Crew_A,229,Busy,2025-07-16 01:26:09,0.69,Finger,Rain,28.9,1,1,2
AI308,2025-07-16 08:35:00,2025-07-16 09:04:26,29.44,1,B4,Crew_A,127,Free,2025-07-16 08:40:42,0.35,Contact,Clear,29.433333333333334,1,8,2
AI129,2025-07-16 20:38:00,2025-07-16 21:08:00,30.0,1,B1,Crew_D,56,Busy,2025-07-16 20:57:59,0.6,Finger,Clear,30.0,1,20,2
AI195,2025-07-16 07:53:00,2025-07-16 08:23:00,30.0,1,B2,Crew_D,67,Very Busy,2025-07-16 08:02:50,0.79,Contact,Fog,30.0,1,7,2
AI833,2025-07-16 09:32:00,2025-07-16 10:00:53,28.9,1,B4,Crew_B,77,Busy,2025-07-16 09:39:15,0.73,Contact,Storm,28.883333333333333,1,9,2
AI567,2025-07-16 17:09:00,2025-07-16 17:38:28,29.47,1,B2,Crew_A,74,Free,2025-07-16 17:23:42,0.32,Finger,Clear,29.466666666666665,1,17,2
AI382,2025-07-16 13:21:00,2025-07-16 13:51:00,30.0,1,B1,Crew_C,160,Very Busy,2025-07-16 13:37:43,0.83,Finger,Clear,30.0,1,13,2
AI843,2025-07-16 09:53:00,2025-07-16 10:17:36,24.61,1,B2,Crew_D,91,Busy,2025-07-16 10:07:26,0.69,Finger,Clear,24.6,1,9,2
AI651,2025-07-16 15:22:00,2025-07-16 15:40:43,18.72,1,B3,Crew_B,233,Free,2025-07-16 15:35:08,0.3,Finger,Clear,18.716666666666665,1,15,2
AI814,2025-07-16 07:36:00,2025-07-16 07:58:22,22.37,1,B4,Crew_D,70,Free,2025-07-16 07:42:59,0.34,Contact,Clear,22.366666666666667,1,7,2
AI495,2025-07-16 21:50:00,2025-07-16 22:20:00,30.0,1,B1,Crew_B,111,Very Busy,2025-07-16 21:55:06,0.9,Remote,Clear,30.0,1,21,2
AI614,2025-07-16 18:21:00,2025-07-16 18:51:00,30.0,1,B4,Crew_A,143,Very Busy,2025-07-16 18:44:35,0.83,Contact,Clear,30.0,1,18,2
AI839,2025-07-16 04:26:00,2025-07-16 04:56:00,30.0,1,B3,Crew_C,185,Very Busy,2025-07-16 04:35:06,0.9,Remote,Clear,30.0,1,4,2
AI738,2025-07-16 22:25:00,2025-07-16 22:53:21,28.36,1,B4,Crew_C,117,Busy,2025-07-16 22:34:27,0.62,Contact,Storm,28.35,1,22,2
AI741,2025-07-16 22:56:00,2025-07-16 23:25:38,29.64,1,B1,Crew_B,139,Busy,2025-07-16 23:10:56,0.74,Finger,Clear,29.633333333333333,1,22,2
AI746,2025-07-16 21:58:00,2025-07-16 22:26:08,28.14,1,B4,Crew_A,126,Free,2025-07-16 22:09:06,0.33,Remote,Rain,28.133333333333333,1,21,2
AI878,2025-07-16 20:45:00,2025-07-16 21:14:51,29.86,1,B3,Crew_A,200,Very Busy,2025-07-16 21:03:35,0.76,Contact,Clear,29.85,1,20,2
AI147,2025-07-16 10:50:00,2025-07-16 11:19:51,29.86,1,B2,Crew_B,112,Free,2025-07-16 11:06:49,0.39,Contact,Clear,29.85,1,10,2
AI643,2025-07-16 13:36:00,2025-07-16 14:06:00,30.0,1,B1,Crew_D,212,Busy,2025-07-16 13:57:36,0.74,Remote,Clear,30.0,1,13,2
AI734,2025-07-16 21:15:00,2025-07-16 21:40:59,25.99,1,B4,Crew_C,127,Busy,2025-07-16 21:34:48,0.71,Finger,Clear,25.983333333333334,1,21,2
AI570,2025-07-16 08:42:00,2025-07-16 09:09:52,27.87,1,B2,Crew_A,109,Free,2025-07-16 09:01:12,0.34,Contact,Fog,27.866666666666667,1,8,2
AI552,2025-07-16 11:37:00,2025-07-16 12:04:35,27.59,1,B4,Crew_C,79,Free,2025-07-16 11:46:08,0.43,Contact,Rain,27.583333333333332,1,11,2
AI303,2025-07-16 12:54:00,2025-07-16 13:24:00,30.0,1,B3,Crew_C,111,Busy,2025-07-16 13:06:50,0.72,Remote,Clear,30.0,1,12,2
AI816,2025-07-16 09:01:00,2025-07-16 09:31:00,30.0,1,B1,Crew_A,88,Very Busy,2025-07-16 09:18:28,0.83,Finger,Clear,30.0,1,9,2
AI720,2025-07-16 23:31:00,2025-07-17 00:01:00,30.0,1,B2,Crew_C,112,Very Busy,2025-07-16 23:53:59,0.81,Contact,Rain,30.0,1,23,2
AI324,2025-07-16 20:12:00,2025-07-16 20:42:00,30.0,1,B2,Crew_A,102,Busy,2025-07-16 20:19:20,0.74,Finger,Rain,30.0,1,20,2
AI742,2025-07-16 20:02:00,2025-07-16 20:31:55,29.93,1,B3,Crew_B,184,Free,2025-07-16 20:10:19,0.48,Contact,Clear,29.916666666666668,1,20,2
AI192,2025-07-16 09:20:00,2025-07-16 09:50:00,30.0,1,B3,Crew_C,82,Busy,2025-07-16 09:40:46,0.62,Remote,Clear,30.0,1,9,2
AI950,2025-07-16 05:16:00,2025-07-16 05:46:00,30.0,1,B3,Crew_C,146,Very Busy,2025-07-16 05:23:51,0.78,Contact,Fog,30.0,1,5,2
AI923,2025-07-16 03:29:00,2025-07-16 03:59:00,30.0,1,B2,Crew_D,115,Very Busy,2025-07-16 03:40:50,0.87,Remote,Rain,30.0,1,3,2
AI966,2025-07-16 17:23:00,2025-07-16 17:41:16,18.27,1,B1,Crew_D,208,Free,2025-07-16 17:32:59,0.4,Contact,Clear,18.266666666666666,1,17,2
AI477,2025-07-16 21:47:00,2025-07-16 22:14:36,27.61,1,B3,Crew_A,185,Busy,2025-07-16 22:04:43,0.71,Finger,Clear,27.6,1,21,2
AI791,2025-07-16 07:30:00,2025-07-16 08:00:00,30.0,1,B2,Crew_A,144,Free,2025-07-16 07:49:19,0.42,Finger,Clear,30.0,1,7,2
AI750,2025-07-16 14:58:00,2025-07-16 15:25:39,27.66,1,B2,Crew_A,197,Busy,2025-07-16 15:11:09,0.74,Finger,Clear,27.65,1,14,2
AI138,2025-07-16 09:31:00,2025-07-16 09:59:18,28.31,1,B2,Crew_D,189,Free,2025-07-16 09:49:17,0.42,Remote,Storm,28.3,1,9,2
AI564,2025-07-16 11:42:00,2025-07-16 12:12:00,30.0,1,B4,Crew_B,149,Very Busy,2025-07-16 11:48:22,0.76,Finger,Fog,30.0,1,11,2
AI524,2025-07-16 20:06:00,2025-07-16 20:36:00,30.0,1,B3,Crew_A,89,Very Busy,2025-07-16 20:14:18,0.78,Finger,Clear,30.0,1,20,2
AI806,2025-07-16 11:13:00,2025-07-16 11:42:05,29.1,1,B1,Crew_C,106,Busy,2025-07-16 11:22:20,0.69,Remote,Storm,29.083333333333332,1,11,2
