Passenger_ID,Bag_Tag_ID,Checkin_Time,Bag_Loaded_on_Aircraft_Time,Flight_Scheduled_Departure_Time,Load_Team_Assigned,Bag_Routing_Status,Bag_Screening_Status,Checkin_Counter_Location,Trolley_Turnaround_Time,Bag_Load_Lead_Time_Minutes,Late_Load_Flag,Calculated_Bag_Load_Lead_Time_Minutes,Calculated_Late_Load_Flag,Departure_Hour,Departure_Day_of_Week,Checkin_to_Load_Duration_Minutes
PAX47957,TAG142238,2025-07-16 19:06:00,2025-07-16 20:50:23,2025-07-16 21:09:00,Team_2,Routed,Cleared,Counter_B,14.04,18.61,0,18.616666666666667,0,21,2,104.38333333333334
PAX48532,TAG609529,2025-07-16 03:09:00,2025-07-16 05:34:10,2025-07-16 05:50:00,Team_2,Routed,Cleared,Counter_A,19.63,15.82,0,15.833333333333334,0,5,2,145.16666666666666
PAX49998,TAG397252,2025-07-16 08:57:00,2025-07-16 10:42:06,2025-07-16 11:11:00,Team_1,Routed,Cleared,Counter_C,15.21,28.89,0,28.9,0,11,2,105.1
PAX55698,TAG170846,2025-07-16 04:59:00,2025-07-16 06:13:50,2025-07-16 06:26:00,Team_2,Routed,Cleared,Counter_B,19.74,12.15,1,12.166666666666666,1,6,2,74.83333333333333
PAX59454,TAG598312,2025-07-16 07:07:00,2025-07-16 09:24:23,2025-07-16 09:48:00,Team_2,Routed,Cleared,Counter_C,13.83,23.61,0,23.616666666666667,0,9,2,137.38333333333333
PAX68861,TAG256219,2025-07-16 13:57:00,2025-07-16 14:43:58,2025-07-16 15:05:00,Team_2,Routed,Cleared,Counter_B,11.4,21.03,0,21.033333333333335,0,15,2,46.96666666666667
PAX40516,TAG514603,2025-07-16 13:34:00,2025-07-16 15:11:58,2025-07-16 15:34:00,Team_2,Routed,Cleared,Counter_C,19.2,22.02,0,22.033333333333335,0,15,2,97.96666666666667
PAX46356,TAG777292,2025-07-16 05:05:00,2025-07-16 07:35:28,2025-07-16 07:55:00,Team_3,Routed,Cleared,Counter_C,19.59,19.52,0,19.533333333333335,0,7,2,150.46666666666667
PAX50481,TAG688297,2025-07-16 06:28:00,2025-07-16 08:18:29,2025-07-16 08:41:00,Team_3,Routed,Cleared,Counter_C,14.93,22.51,0,22.516666666666666,0,8,2,110.48333333333333
PAX85609,TAG894417,2025-07-16 03:49:00,2025-07-16 06:12:51,2025-07-16 06:36:00,Team_3,Routed,Cleared,Counter_A,5.86,23.14,0,23.15,0,6,2,143.85
PAX25765,TAG790229,2025-07-16 20:57:00,2025-07-16 21:47:59,2025-07-16 22:11:00,Team_1,Misrouted,Cleared,Counter_A,14.83,23.0,0,23.016666666666666,0,22,2,50.983333333333334
PAX85963,TAG565808,2025-07-16 05:17:00,2025-07-16 07:40:28,2025-07-16 07:51:00,Team_3,Routed,Cleared,Counter_A,19.59,10.53,1,10.533333333333333,1,7,2,143.46666666666667
PAX74418,TAG124393,2025-07-16 12:41:00,2025-07-16 15:08:39,2025-07-16 15:27:00,Team_3,Routed,Cleared,Counter_B,6.15,18.34,0,18.35,0,15,2,147.65
PAX60070,TAG369670,2025-07-16 04:26:00,2025-07-16 06:44:54,2025-07-16 07:07:00,Team_2,Misrouted,Cleared,Counter_A,17.58,22.09,0,22.1,0,7,2,138.9
PAX33942,TAG367968,2025-07-16 06:02:00,2025-07-16 06:52:35,2025-07-16 07:09:00,Team_1,Routed,Cleared,Counter_A,11.69,16.41,0,16.416666666666668,0,7,2,50.583333333333336
PAX90540,TAG441092,2025-07-16 07:04:00,2025-07-16 09:43:25,2025-07-16 10:01:00,Team_1,Routed,Cleared,Counter_B,17.31,17.57,0,17.583333333333332,0,10,2,159.41666666666666
PAX28672,TAG532876,2025-07-16 13:57:00,2025-07-16 14:54:37,2025-07-16 15:16:00,Team_1,Routed,Cleared,Counter_A,12.71,21.38,0,21.383333333333333,0,15,2,57.61666666666667
PAX36549,TAG351262,2025-07-16 22:07:00,2025-07-16 22:48:16,2025-07-16 23:15:00,Team_2,Routed,Cleared,Counter_A,6.37,26.73,0,26.733333333333334,0,23,2,41.266666666666666
PAX45296,TAG163577,2025-07-16 14:01:00,2025-07-16 15:10:11,2025-07-16 15:29:00,Team_1,Routed,Cleared,Counter_B,15.91,18.81,0,18.816666666666666,0,15,2,69.18333333333334
PAX93039,TAG345094,2025-07-16 03:07:00,2025-07-16 05:00:44,2025-07-16 05:17:00,Team_1,Routed,Cleared,Counter_A,13.82,16.26,0,16.266666666666666,0,5,2,113.73333333333333
PAX82706,TAG783200,2025-07-16 07:00:00,2025-07-16 09:04:20,2025-07-16 09:19:00,Team_3,Routed,Cleared,Counter_C,12.88,14.66,1,14.666666666666666,1,9,2,124.33333333333333
PAX36667,TAG920910,2025-07-16 06:53:00,2025-07-16 09:01:58,2025-07-16 09:23:00,Team_1,Routed,Cleared,Counter_C,9.11,21.02,0,21.033333333333335,0,9,2,128.96666666666667
PAX65542,TAG682119,2025-07-16 17:12:00,2025-07-16 18:39:03,2025-07-16 19:02:00,Team_3,Routed,Cleared,Counter_B,8.91,22.94,0,22.95,0,19,2,87.05
PAX95597,TAG275512,2025-07-16 03:22:00,2025-07-16 04:39:36,2025-07-16 05:03:00,Team_3,Routed,Cleared,Counter_B,8.09,23.39,0,23.4,0,5,2,77.6
PAX99128,TAG498619,2025-07-16 15:27:00,2025-07-16 16:31:07,2025-07-16 16:53:00,Team_3,Routed,Cleared,Counter_B,15.41,21.88,0,21.883333333333333,0,16,2,64.11666666666666
PAX15961,TAG269257,2025-07-16 20:10:00,2025-07-16 22:11:55,2025-07-16 22:36:00,Team_3,Routed,Cleared,Counter_A,14.43,24.08,0,24.083333333333332,0,22,2,121.91666666666667
PAX28304,TAG860294,2025-07-16 20:24:00,2025-07-16 21:53:43,2025-07-16 22:17:00,Team_3,Routed,Cleared,Counter_B,9.93,23.27,0,23.283333333333335,0,22,2,89.71666666666667
PAX99404,TAG459279,2025-07-16 11:51:00,2025-07-16 13:30:05,2025-07-16 13:48:00,Team_3,Routed,Cleared,Counter_B,15.55,17.9,0,17.916666666666668,0,13,2,99.08333333333333
PAX54778,TAG320855,2025-07-16 17:23:00,2025-07-16 19:18:17,2025-07-16 19:38:00,Team_1,Routed,Held,Counter_C,15.09,19.71,0,19.716666666666665,0,19,2,115.28333333333333
PAX10268,TAG738359,2025-07-16 17:56:00,2025-07-16 19:49:33,2025-07-16 20:00:00,Team_2,Routed,Cleared,Counter_C,9.71,10.44,1,10.45,1,20,2,113.55
PAX74091,TAG899502,2025-07-16 14:39:00,2025-07-16 17:12:01,2025-07-16 17:34:00,Team_3,Routed,Held,Counter_A,19.31,21.97,0,21.983333333333334,0,17,2,153.01666666666668
